Constituency Number,Constituency Name,ONS Code,Directory
2,Belfast East,N06000001,belfast-east
10,Belfast North,N06000002,belfast-north
13,Belfast South,N06000003,belfast-south
17,Belfast West,N06000004,belfast-west
1,East Antrim,N06000005,east-antrim
3,East Londonderry,N06000006,east-londonderry
4,Fermanagh and South Tyrone,N06000007,fermanagh-south-tyrone
5,Foyle,N06000008,foyle
6,Lagan Valley,N06000009,lagan-valley
7,Mid Ulster,N06000010,mid-ulster
8,Newry and Armagh,N06000011,newry-armagh
9,North Antrim,N06000012,north-antrim
11,North Down,N06000013,north-down
12,South Antrim,N06000014,south-antrim
14,South Down,N06000015,south-down
15,Strangford,N06000016,strangford
16,Upper Bann,N06000017,upper-bann
18,West Tyrone,N06000018,west-tyrone
