Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,,Directory
Belfast East,2,40,Tommy,BLACK,,996,Socialist Party,,belfast-east
Belfast East,2,41,Judith,COCHRANE,,19,Alliance Party,,belfast-east
Belfast East,2,42,Ann,COOPER,,995,British Nationalist Party,,belfast-east
Belfast East,2,43,Michael,COPELAND,,26,Ulster Unionist Party,,belfast-east
Belfast East,2,44,Sammy,DOUGLAS,,20,Democratic Unionist Party,,belfast-east
Belfast East,2,45,Brian,ERVINE,,994,Progressive Unionist Party,,belfast-east
Belfast East,2,46,Martin,GREGG,,111,Green Party,,belfast-east
Belfast East,2,47,Chris,LYTTLE,,19,Alliance Party,,belfast-east
Belfast East,2,48,Kevin,MCNALLY,,998,Workers Party,,belfast-east
Belfast East,2,49,Robin,NEWTON,,20,Democratic Unionist Party,,belfast-east
Belfast East,2,50,Niall,O DONNGHAILE,,24,Sinn Fein,,belfast-east
Belfast East,2,51,Dawn,PURVIS,,21,Independent,,belfast-east
Belfast East,2,52,Peter,ROBINSON,,20,Democratic Unionist Party,,belfast-east
Belfast East,2,53,Philip,ROBINSON,,26,Ulster Unionist Party,,belfast-east
Belfast East,2,54,Stephen,STEWART,,21,Independent,,belfast-east
Belfast East,2,55,Harry,TOAN,,141,Traditional Unionist Voice,,belfast-east
Belfast East,2,56,Magdalena,WOLSKA,,23,Social Democratic and Labour Party,,belfast-east
Belfast North,10,1,Paula,BRADLEY,,20,Democratic Unionist Party,,belfast-north
Belfast North,10,2,Fred,COBAIN,,26,Ulster Unionist Party,,belfast-north
Belfast North,10,3,William,HUMPHREY,,20,Democratic Unionist Party,,belfast-north
Belfast North,10,4,Gerry,KELLY,,24,Sinn Fein,,belfast-north
Belfast North,10,5,John,LAVERY,,998,Workers Party,,belfast-north
Belfast North,10,6,JJ,MAGEE,,24,Sinn Fein,,belfast-north
Belfast North,10,7,Alban,MAGINNESS,,23,Social Democratic and Labour Party,,belfast-north
Belfast North,10,8,Nelson,MCCAUSLAND,,20,Democratic Unionist Party,,belfast-north
Belfast North,10,9,Raymond,MCCORD,,21,Independent,,belfast-north
Belfast North,10,10,Caral,NI CUILIN,,24,Sinn Fein,,belfast-north
Belfast North,10,11,Billy,WEBB,,19,Alliance Party,,belfast-north
Belfast South,13,12,Clare,BAILEY,,111,Green Party,,belfast-south
Belfast South,13,13,Brian,FALOON,,999,People Before Profit Alliance,,belfast-south
Belfast South,13,14,Mark,FINLAY,,26,Ulster Unionist Party,,belfast-south
Belfast South,13,15,Anna,LO,,19,Alliance Party,,belfast-south
Belfast South,13,16,Paddy,LYNN,,998,Workers Party,,belfast-south
Belfast South,13,17,Alex,MASKEY,,24,Sinn Fein,,belfast-south
Belfast South,13,18,Conall Patrick,MCDEVITT,,23,Social Democratic and Labour Party,,belfast-south
Belfast South,13,19,Alasdair,MCDONNELL,,23,Social Democratic and Labour Party,,belfast-south
Belfast South,13,20,Michael,MCGIMPSEY,,26,Ulster Unionist Party,,belfast-south
Belfast South,13,21,Paddy,MEEHAN,,996,Socialist Party,,belfast-south
Belfast South,13,22,Ruth Frances,PATTERSON,,20,Democratic Unionist Party,,belfast-south
Belfast South,13,23,Samuel Charles,SMYTH,,997,Procapitalism,,belfast-south
Belfast South,13,24,Jimmy,SPRATT,,20,Democratic Unionist Party,,belfast-south
