Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Name,Constituency_Number,Outgoing_Member,Party_Name,Candidate_Id,Party_Id,Count_Number,Directory,Transfers,Total_Votes
201,Excluded,4,BLACK,Tommy,Belfast East,2,,Socialist Party,40,996,11,belfast-east,0,0
4329,Elected,7,COCHRANE,Judith,Belfast East,2,,Alliance Party,41,19,11,belfast-east,0,4754.71
337,Excluded,5,COOPER,Ann,Belfast East,2,,British Nationalist Party,42,995,11,belfast-east,0,0
2194,Elected,11,COPELAND,Michael,Belfast East,2,,Ulster Unionist Party,43,26,11,belfast-east,498.43,3723.34
2668,Elected,11,DOUGLAS,Sammy,Belfast East,2,,Democratic Unionist Party,44,20,11,belfast-east,328,4783.11
1493,Excluded,10,ERVINE,Brian,Belfast East,2,,Progressive Unionist Party,45,994,11,belfast-east,-1963.3,0
572,Excluded,6,GREGG,Martin,Belfast East,2,,Green Party,46,111,11,belfast-east,0,0
4183,Elected,11,LYTTLE,Chris,Belfast East,2,,Alliance Party,47,19,11,belfast-east,0,4695.5
102,Excluded,3,MCNALLY,Kevin,Belfast East,2,,Workers Party,48,998,11,belfast-east,0,0
2436,Elected,2,NEWTON,Robin,Belfast East,2,,Democratic Unionist Party,49,20,11,belfast-east,0,4622
1030,Excluded,8,O DONNGHAILE,Niall,Belfast East,2,,Sinn Fein,50,24,11,belfast-east,0,0
1702,Excluded,11,PURVIS,Dawn,Belfast East,2,,Independent,51,21,11,belfast-east,468.86,2789.29
9149,Elected,1,ROBINSON,Peter,Belfast East,2,,Democratic Unionist Party,52,20,11,belfast-east,0,4622
943,Excluded,9,ROBINSON,Philip,Belfast East,2,,Ulster Unionist Party,53,26,11,belfast-east,0,0
46,Excluded,3,STEWART,Stephen,Belfast East,2,,Independent,54,21,11,belfast-east,0,0
712,Excluded,7,TOAN,Harry,Belfast East,2,,Traditional Unionist Voice,55,141,11,belfast-east,0,0
250,Excluded,5,WOLSKA,Magdalena,Belfast East,2,,Social Democratic and Labour Party,56,23,11,belfast-east,0,0
3488,Elected,7,BRADLEY,Paula,Belfast North,10,,Democratic Unionist Party,1,20,7,belfast-north,330.16,4065.2
2758,Excluded,7,COBAIN,Fred,Belfast North,10,,Ulster Unionist Party,2,26,7,belfast-north,629.16,3622.68
3724,Elected,7,HUMPHREY,William,Belfast North,10,,Democratic Unionist Party,3,20,7,belfast-north,166.04,4331.76
6674,Elected,1,KELLY,Gerry,Belfast North,10,,Sinn Fein,4,24,7,belfast-north,0,4782
332,Excluded,2,LAVERY,John,Belfast North,10,,Workers Party,5,998,7,belfast-north,0,0
998,Excluded,5,MAGEE,JJ,Belfast North,10,,Sinn Fein,6,24,7,belfast-north,0,0
4025,Elected,6,MAGINNESS,Alban,Belfast North,10,,Social Democratic and Labour Party,7,23,7,belfast-north,0,5004.32
5200,Elected,1,MCCAUSLAND,Nelson,Belfast North,10,,Democratic Unionist Party,8,20,7,belfast-north,0,4782
1176,Excluded,4,MCCORD,Raymond,Belfast North,10,,Independent,9,21,7,belfast-north,0,0
2999,Elected,7,NI CUILIN,Caral,Belfast North,10,,Sinn Fein,10,24,7,belfast-north,0,4868.48
2096,Excluded,6,WEBB,Billy,Belfast North,10,,Alliance Party,11,19,7,belfast-north,-2458.16,0
889,Excluded,4,BAILEY,Clare,Belfast South,13,,Green Party,12,111,5,belfast-south,-1655.6,0
414,Excluded,4,FALOON,Brian,Belfast South,13,,People Before Profit Alliance,13,999,5,belfast-south,0,0
1394,Excluded,4,FINLAY,Mark,Belfast South,13,,Ulster Unionist Party,14,26,5,belfast-south,-1617.7,0
6390,Elected,1,LO,Anna,Belfast South,13,,Alliance Party,15,19,5,belfast-south,0,4616
135,Excluded,3,LYNN,Paddy,Belfast South,13,,Workers Party,16,998,5,belfast-south,0,0
4038,Elected,5,MASKEY,Alex,Belfast South,13,,Sinn Fein,17,24,5,belfast-south,183.9,4452.05
3191,Elected,5,MCDEVITT,Conall Patrick,Belfast South,13,,Social Democratic and Labour Party,18,23,5,belfast-south,592.7,4444.8
4527,Elected,2,MCDONNELL,Alasdair,Belfast South,13,,Social Democratic and Labour Party,19,23,5,belfast-south,0,4616
2988,Elected,5,MCGIMPSEY,Michael,Belfast South,13,,Ulster Unionist Party,20,26,5,belfast-south,1299.1,4622.05
234,Excluded,3,MEEHAN,Paddy,Belfast South,13,,Socialist Party,21,996,5,belfast-south,0,0.7
3800,Excluded,5,PATTERSON,Ruth Frances,Belfast South,13,,Democratic Unionist Party,22,20,5,belfast-south,210.35,4163.4
29,Excluded,2,SMYTH,Samuel Charles,Belfast South,13,,Procapitalism,23,997,5,belfast-south,0,0.5
4045,Elected,5,SPRATT,Jimmy,Belfast South,13,,Democratic Unionist Party,24,20,5,belfast-south,117.6,4281.45
234,Excluded,3,TORREGROSA,Nico,Belfast South,13,,UK Independence Party,25,689,5,belfast-south,0,0
3765,Elected,10,ATTWOOD,Alex,Belfast West,17,,Social Democratic and Labour Party,26,23,11,belfast-west,0,5151.65
1661,Excluded,9,CARROLL,Gerry,Belfast West,17,,People Before Profit Alliance,27,999,11,belfast-west,0,0
802,Excluded,7,KEENAN,Colin,Belfast West,17,,Social Democratic and Labour Party,28,23,11,belfast-west,0,0
2587,Excluded,11,KINGSTON,Brian,Belfast West,17,,Democratic Unionist Party,29,20,11,belfast-west,0,3866.57
384,Excluded,5,LAWLOR,Pat,Belfast West,17,,Socialist Party,30,996,11,belfast-west,0,0
586,Excluded,6,LOWRY,John Terence,Belfast West,17,,Workers Party,31,998,11,belfast-west,0,0
1471,Excluded,8,MANWARING,Bill,Belfast West,17,,Ulster Unionist Party,32,26,11,belfast-west,0,0
5343,Elected,1,MASKEY,Paul,Belfast West,17,,Sinn Fein,33,24,11,belfast-west,0,4950
4481,Elected,10,MCCANN,Fra,Belfast West,17,,Sinn Fein,34,24,11,belfast-west,-217.34,4950
5239,Elected,1,MCCANN,Jennifer,Belfast West,17,,Sinn Fein,35,24,11,belfast-west,0,4950
365,Excluded,4,MCGUINNESS,Dan,Belfast West,17,,Alliance Party,36,19,11,belfast-west,0,0
122,Excluded,3,PELAN,Brian,Belfast West,17,,Independent,37,21,11,belfast-west,0,0
4116,Elected,11,RAMSEY,Sue,Belfast West,17,,Sinn Fein,38,24,11,belfast-west,139.16,4823.06
