Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Abbreviation,Photo_URL
10,1,Paula,BRADLEY,,20,Democratic Unionist Party,
10,2,Fred,COBAIN,,26,Ulster Unionist Party,
10,3,William,HUMPHREY,,20,Democratic Unionist Party,
10,4,Gerry,KELLY,,24,Sinn Fein,
10,5,John,LAVERY,,998,Workers Party,
10,6,JJ,MAGEE,,24,Sinn Fein,
10,7,Alban,MAGINNESS,,23,Social Democratic and Labour Party,
10,8,Nelson,MCCAUSLAND,,20,Democratic Unionist Party,
10,9,Raymond,MCCORD,,21,Independent,
10,10,Caral,NI CUILIN,,24,Sinn Fein,
10,11,Billy,WEBB,,19,Alliance Party,
