Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
13,12,Clare,BAILEY ,,111,Green Party ,
13,13,Brian,FALOON ,,999,People Before Profit Alliance ,
13,14,Mark,FINLAY ,,26,Ulster Unionist Party,
13,15,Anna,LO ,,19,Alliance Party ,
13,16,Paddy,LYNN ,,998,Workers Party ,
13,17,Alex,MASKEY ,,24,Sinn Fein ,
13,18,Conall Patrick,MCDEVITT ,,23,Social Democratic and Labour Party,
13,19,Alasdair,MCDONNELL ,,23,Social Democratic and Labour Party,
13,20,Michael,MCGIMPSEY ,,26,Ulster Unionist Party,
13,21,Paddy,MEEHAN ,,996,Socialist Party ,
13,22,Ruth Frances,PATTERSON ,,20,Democratic Unionist Party,
13,23,Samuel Charles,SMYTH ,,997,Procapitalism ,
13,24,Jimmy,SPRATT ,,20,Democratic Unionist Party,
13,25,Nico,TORREGROSA ,,689,UK Independence Party,
