Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
17,26,Alex,ATTWOOD,,23,Social Democratic and Labour Party,
17,27,Gerry,CARROLL,,999,People Before Profit Alliance,
17,28,Colin,KEENAN,,23,Social Democratic and Labour Party,
17,29,Brian,KINGSTON,,20,Democratic Unionist Party,
17,30,Pat,LAWLOR,,996,Socialist Party (NI),
17,31,John Terence,LOWRY,,998,Workers Party,
17,32,Bill,MANWARING,,26,Ulster Unionist Party,
17,33,Paul,MASKEY,,24,Sinn Fein,
17,34,Fra,MCCANN,,24,Sinn Fein,
17,35,Jennifer,MCCANN,,24,Sinn Fein,
17,36,Dan,MCGUINNESS,,19,Alliance Party,
17,37,Brian,PELAN,,21,Independent,
17,38,Sue,RAMSEY,,24,Sinn Fein,
17,39,Pat,SHEEHAN,,24,Sinn Fein,
