Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
1,57,Roy,BEGGS,,26,Ulster Unionist Party,
1,58,Stewart,DICKSON,,19,Alliance Party,
1,59,Daniel,DONNELLY,,111,Green Party,
1,60,David,HILDITCH,,20,Democratic Unionist Party,
1,61,Gordon,LYONS,,20,Democratic Unionist Party,
1,62,Justin,MCCAMPHILL,,23,Social Democratic and Labour Party,
1,63,Rodney,MCCUNE,,26,Ulster Unionist Party,
1,64,Oliver,MCMULLAN,,24,Sinn Fein,
1,65,Steven,MOORE,,995,British Nationalist Party,
1,66,Gerardine Marie,MULVENNA,,19,Alliance Party,
1,67,Alastair,ROSS,,20,Democratic Unionist Party,
1,68,Ruth,WILSON,,141,Traditional Unionist Voice,
1,69,Sammy,WILSON,,20,Democratic Unionist Party,
