Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
3,70,Bernadette,ARCHIBALD,,24,Sinn Fein,
3,71,Gregory,CAMPBELL,,20,Democratic Unionist Party,
3,72,Thomas Joseph,CONWAY,,23,Social Democratic and Labour Party,
3,73,John,DALLAT,,23,Social Democratic and Labour Party,
3,74,Douglas,BOYD,,141,Traditional Unionist Voice,
3,75,Barry,FITZPATRICK,,19,Alliance Party,
3,76,David,HARDING,,26,Ulster Unionist Party,
3,77,Lesley,MACAULAY,,26,Ulster Unionist Party,
3,78,David,MCCLARTY,,21,Independent,
3,79,Adrian,MCQUILLAN,,20,Democratic Unionist Party,
3,80,Cathal,O HOISIN,,24,Sinn Fein,
3,81,George,ROBINSON,,20,Democratic Unionist Party,
