Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,,Directory
Foyle,5,114,Martina,ANDERSON,,24,Sinn Fein,,foyle
Foyle,5,115,Pol,CALLAGHAN,,23,Social Democratic and Labour Party,,foyle
Foyle,5,116,Terry,DOHERTY,,21,Independent,,foyle
Foyle,5,117,Mark H,DURKAN,,23,Social Democratic and Labour Party,,foyle
Foyle,5,118,Colum,EASTWOOD,,23,Social Democratic and Labour Party,,foyle
Foyle,5,119,Paul,FLEMING,,24,Sinn Fein,,foyle
Foyle,5,120,William,HAY,,20,Democratic Unionist Party,,foyle
Foyle,5,121,Eamonn,MCCANN,,999,People Before Profit Alliance,,foyle
Foyle,5,122,Raymond,MCCARTNEY,,24,Sinn Fein,,foyle
Foyle,5,123,Paul,MCFADDEN,,21,Independent,,foyle
Foyle,5,124,Keith,MCGRELLIS,,19,Alliance Party,,foyle
Foyle,5,125,Pat,RAMSEY,,23,Social Democratic and Labour Party,,foyle
