Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,,Directory
Lagan Valley,6,126,Pat,CATNEY,,23,Social Democratic and Labour Party,,lagan-valley
Lagan Valley,6,127,Jonathan,CRAIG,,20,Democratic Unionist Party,,lagan-valley
Lagan Valley,6,128,Paul,GIVAN,,20,Democratic Unionist Party,,lagan-valley
Lagan Valley,6,129,Brenda,HALE,,20,Democratic Unionist Party,,lagan-valley
Lagan Valley,6,130,Mark,HILL,,26,Ulster Unionist Party,,lagan-valley
Lagan Valley,6,131,Trevor,LUNN,,19,Alliance Party,,lagan-valley
Lagan Valley,6,132,Basil,MCCREA,,26,Ulster Unionist Party,,lagan-valley
Lagan Valley,6,133,Edwin,POOTS,,20,Democratic Unionist Party,,lagan-valley
Lagan Valley,6,134,Conor,QUINN,,111,Green Party,,lagan-valley
Lagan Valley,6,135,Mary-Kate,QUINN,,24,Sinn Fein,,lagan-valley
Lagan Valley,6,136,Lyle,REA,,141,Traditional Unionist Voice,,lagan-valley
