Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
7,137,Harry,HUTCHINSON,,999,People Before Profit Alliance,
7,138,Austin,KELLY,,23,Social Democratic and Labour Party,
7,139,Gary,MCCANN,,21,Independent,
7,140,Hugh,MCCLOY,,21,Independent,
7,141,Ian,MCCREA,,20,Democratic Unionist Party,
7,142,Michael,MCDONALD,,19,Alliance Party,
7,143,Patsy,MCGLONE,,23,Social Democratic and Labour Party,
7,144,Martin,MCGUINNESS,,24,Sinn Fein,
7,145,Walter,MILLAR,,141,Traditional Unionist Voice,
7,146,Ian Patrick,MILNE,,24,Sinn Fein,
7,147,Francie,MOLLOY,,24,Sinn Fein,
7,148,Michelle,ONEILL,,24,Sinn Fein,
7,149,Sandra,OVEREND,,26,Ulster Unionist Party,
