Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
9,161,Jim,ALLISTER,,141,Traditional Unionist Voice,
9,162,Jayne,DUNLOP,,19,Alliance Party,
9,163,Paul,FREW,,20,Democratic Unionist Party,
9,164,Bill,KENNEDY,,26,Ulster Unionist Party,
9,165,David,MCILVEEN,,20,Democratic Unionist Party,
9,166,Daithi,MCKAY,,24,Sinn Fein,
9,167,Declan,OLOAN,,23,Social Democratic and Labour Party,
9,168,Audrey,PATTERSON,,141,Traditional Unionist Voice,
9,169,Evelyne,ROBINSON,,20,Democratic Unionist Party,
9,170,Mervyn,STOREY,,20,Democratic Unionist Party,
9,171,Robin,SWANN,,26,Ulster Unionist Party,
