Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
11,172,Steven,AGNEW,,111,Green Party,
11,173,Colin,BREEN,,26,Ulster Unionist Party,
11,174,Alan,CHAMBERS,,21,Independent,
11,175,Leslie,CREE,,26,Ulster Unionist Party,
11,176,Gordon,DUNNE,,20,Democratic Unionist Party,
11,177,Alex,EASTON,,20,Democratic Unionist Party,
11,178,Stephen,FARRY,,19,Alliance Party,
11,179,Conor,KEENAN,,24,Sinn Fein,
11,180,Liam,LOGAN,,26,Ulster Unionist Party,
11,181,Alan,MCFARLAND,,21,Independent,
11,182,Fred,MCGLADE,,689,UK Independence Party,
11,183,Peter,WEIR,,20,Democratic Unionist Party,
11,184,Anne,WILSON,,19,Alliance Party,
