Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
12,82,Thomas,BURNS,,23,Social Democratic and Labour Party,
12,83,Trevor,CLARKE,,20,Democratic Unionist Party,
12,84,Adrian David,COCHRANE-WATSON,,26,Ulster Unionist Party,
12,85,David RJ,FORD,,19,Alliance Party,
12,86,Paul,GIRVAN,,20,Democratic Unionist Party,
12,87,Danny,KINAHAN,,26,Ulster Unionist Party,
12,88,Pam,LEWIS,,20,Democratic Unionist Party,
12,89,Mel,LUCAS,,141,Traditional Unionist Voice,
12,90,Mitchel,MCLAUGHLIN,,24,Sinn Fein,
12,91,Stephen,PARKES,,995,British Nationalist Party,
