Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,,Directory
Strangford,15,196,Cecil,ANDREWS,,689,UK Independence Party,,strangford
Strangford,15,197,Jonathan,BELL,,20,Democratic Unionist Party,,strangford
Strangford,15,198,Joe,BOYLE,,23,Social Democratic and Labour Party,,strangford
Strangford,15,199,Mickey,COOGAN,,24,Sinn Fein,,strangford
Strangford,15,200,Simon,HAMILTON,,20,Democratic Unionist Party,,strangford
Strangford,15,201,Kieran,MCCARTHY,,19,Alliance Party,,strangford
Strangford,15,202,Michelle,MCILVEEN,,20,Democratic Unionist Party,,strangford
Strangford,15,203,David,MCNARRY,,26,Ulster Unionist Party,,strangford
Strangford,15,204,Mike,NESBITT,,26,Ulster Unionist Party,,strangford
Strangford,15,205,Billy,WALKER,,20,Democratic Unionist Party,,strangford
Strangford,15,206,Terry,WILLIAMS,,141,Traditional Unionist Voice,,strangford
