Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
16,207,Sydney Alexander,ANDERSON,,20,Democratic Unionist Party,
16,208,Joanne Elizabeth,DOBSON,,26,Ulster Unionist Party,
16,209,Samuel,GARDINER,,26,Ulster Unionist Party,
16,210,Sam,HAMILTON,,19,Alliance Party,
16,211,Dolores,KELLY,,23,Social Democratic and Labour Party,
16,212,Colin Craig,MCCUSKER,,26,Ulster Unionist Party,
16,213,Johnny,MCGIBBON,,24,Sinn Fein,
16,214,Sheila Mary,MCQUAID,,19,Alliance Party,
16,215,Stephen,MOUTRAY,,20,Democratic Unionist Party,
16,216,John,O'DOWD,,24,Sinn Fein,
16,217,Barbara,TROTTER,,689,UK Independence Party,
16,218,David,VANCE,,141,Traditional Unionist Voice,
