Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL
18,103,Michaela,BOYLE,,24,Sinn Fein,
18,104,Allan,BRESLAND,,20,Democratic Unionist Party,
18,105,Thomas,BUCHANAN,,20,Democratic Unionist Party,
18,106,Eric Herbert Anton,BULLICK,,19,Alliance Party,
18,107,Joe,BYRNE,,23,Social Democratic and Labour Party,
18,108,Pat,DOHERTY,,24,Sinn Fein,
18,109,Ross,HUSSEY,,26,Ulster Unionist Party,
18,110,Declan,MCALEER,,24,Sinn Fein,
18,111,Barry,MCELDUFF,,24,Sinn Fein,
18,112,Paddy,MCGOWAN,,21,Independent,
18,113,Eugene,MCMENAMIN,,21,Independent,
