Constituency_Name,Constituency_Number,Total_Electorate,Total_Poll,Turnout_pct,Valid_Poll,Spoiled,Quota,Number_Of_Seats,Voting_Age_Pop
Belfast East,2,65740,37623,57.23,37175,448,5311,6,74065
Belfast North,10,70872,37193,52.48,36574,619,5225,6,78914
Belfast South,13,68469,37147,54.25,36723,424,5247,6,91756
Belfast West,17,63993,36990,57.8,36268,722,5182,6,69817
East Antrim,1,64194,32744,51.01,32411,333,4631,6,70652
East Londonderry,3,68600,34848,50.8,34399,449,4915,6,77437
Fermanagh and South Tyrone,4,74257,47934,64.55,47918,741,6740,6,79405
Foyle,5,71759,40187,56,39702,485,5672,6,76503
Lagan Valley,6,73746,39227,53.19,38853,374,5551,6,80833
Mid Ulster,7,70430,41381,58.75,40748,633,5822,6,75342
Newry and Armagh,8,81756,48498,59.32,47715,783,6817,6,85884
North Antrim,9,78337,41464,52.93,40998,466,5857,6,85122
North Down,11,65760,32597,49.57,32229,368,4605,6,71239
South Antrim,12,69680,35544,51.01,35133,411,5020,6,76066
South Down,14,77409,41645,53.8,41075,570,5868,6,82463
Strangford,15,65695,33014,50.25,32639,375,4663,6,70598
Upper Bann,16,85204,46383,54.44,45686,697,6527,6,92012
West Tyrone,18,65694,39325,59.86,38809,516,5545,6,69229
NORTHERN IRELAND,NA,1281595,703744,54.91,695055,9414,NA,108,1407337
