Constituency_Number,Constituency_Name,Candidate_Id,Firstname,Surname,Candidate_First_Pref_Votes,Status,Party_Name
2,Belfast East,1,Andy,ALLEN,3047,,Ulster Unionist Party
2,Belfast East,2,Ross,BROWN,2183,,Green Party
2,Belfast East,3,Joanne,BUNTING,5538,Elected,Democratic Unionist Party
2,Belfast East,4,Amy,DOHERTY,141,Excluded,Social Democratic and Labour Party
2,Belfast East,5,Sammy,DOUGLAS,4230,,Democratic Unionist Party
2,Belfast East,6,Andrew,GIRVIN,887,Excluded,Traditional Unionist Voice
2,Belfast East,7,Erskine,HOLMES,78,Excluded,NI Labour Representation Committee
2,Belfast East,8,Maggie,HUTTON,1099,Excluded,Independent
2,Belfast East,9,John,KYLE,1772,Excluded,Progressive Unionist Party
2,Belfast East,10,Jonny,LAVERY,631,Excluded,UK Independence Party
2,Belfast East,11,Naomi,LONG,5482,Elected,Alliance Party
2,Belfast East,12,Chris,LYTTLE,2805,,Alliance Party
2,Belfast East,13,Chris,MCGIMPSEY,1095,Excluded,Ulster Unionist Party
2,Belfast East,14,Tim,MORROW,2372,,Alliance Party
2,Belfast East,15,Robin,NEWTON,3875,,Democratic Unionist Party
2,Belfast East,16,Niall,O DONNGHAILE,946,Excluded,Sinn Fein
2,Belfast East,17,Courtney,ROBINSON,517,Excluded,Labour Alternative
2,Belfast East,18,Neil,WILSON,477,Excluded,NI Conservatives
10,Belfast North,19,Ken,BOYLE,751,Excluded,UK Independence Party
10,Belfast North,20,Paula Jane,BRADLEY,4591,Elected,Democratic Unionist Party
10,Belfast North,21,Tom,BURNS,87,Excluded,Independent
10,Belfast North,22,Lesley,CARROLL,1972,Excluded,Ulster Unionist Party
10,Belfast North,23,Geoff,DOWEY,32,Excluded,Northern Ireland First
10,Belfast North,24,Fiona,FERGUSON,1286,Excluded,People Before Profit Alliance
10,Belfast North,25,Fra,HUGHES,243,Excluded,Independent
10,Belfast North,26,William,HUMPHREY,4105,Elected,Democratic Unionist Party
10,Belfast North,27,Billy,HUTCHINSON,1238,Excluded,Progressive Unionist Party
10,Belfast North,28,Gerry,KELLY,5695,Elected,Sinn Fein
10,Belfast North,29,Nichola,MALLON,3866,Elected,Social Democratic and Labour Party
10,Belfast North,30,Nuala,MCALLISTER,2569,Excluded,Alliance Party
10,Belfast North,31,Nelson,MCCAUSLAND,4087,Elected,Democratic Unionist Party
10,Belfast North,32,John,MILLER,644,Excluded,Traditional Unionist Voice
10,Belfast North,33,Caral,NI CHUILIN,4009,Elected,Sinn Fein
10,Belfast North,34,Malachai,OHARA,796,Excluded,Green Party
10,Belfast North,35,Abdo,THABETH,127,Excluded,NI Labour Representation Committee
