Constituency_Number,Constituency_Name,ONS_Code,Constituency_Code,Directory
2,Belfast East,N06000001,BE,belfast-east
10,Belfast North,N06000002,BN,belfast-north
13,Belfast South,N06000003,BS,belfast-south
17,Belfast West,N06000004,BW,belfast-west
1,East Antrim,N06000005,EA,east-antrim
3,East Londonderry,N06000006,EL,east-londonderry
4,Fermanagh and South Tyrone,N06000007,FT,fermanagh-south-tyrone
5,Foyle,N06000008,FY,foyle
6,Lagan Valley,N06000009,LV,lagan-valley
7,Mid Ulster,N06000010,MU,mid-ulster
8,Newry and Armagh,N06000011,NYA,newry-armagh
9,North Antrim,N06000012,NA,north-antrim
11,North Down,N06000013,ND,north-down
12,South Antrim,N06000014,SA,south-antrim
14,South Down,N06000015,SD,south-down
15,Strangford,N06000016,ST,strangford
16,Upper Bann,N06000017,UB,upper-bann
18,West Tyrone,N06000018,WT,west-tyrone
