Candidate_Id,MemberName,MemberFrom,MemberTo,MemberLastName,MemberFirstName,MemberFullDisplayName,MemberTitle,MemberSortName,MemberNormalName
185,"Agnew, Steven",2011-05-05,2016-03-30,Agnew,Steven,Mr S Agnew,MLA - North Down,AgnewSteven,Steven Agnew
1,"Allen, Andy",2015-09-17,2016-03-30,Allen,Andy,Mr A Allen,MLA - East Belfast,AllenAndy,Andy Allen
170,"Allister, Jim",2011-05-05,2016-03-30,Allister,Jim,Mr J Allister,MLA - North Antrim,AllisterJim,Jim Allister
242,"Anderson, Sydney",2011-05-05,2016-03-30,Anderson,Sydney,Mr S Anderson,MLA - Upper Bann,AndersonSydney,Sydney Anderson
55,"Attwood, Alex",2011-05-05,2016-03-30,Attwood,Alex,Mr A Attwood,MLA - West Belfast,AttwoodAlex,Alex Attwood
67,"Beggs, Roy",2011-05-05,2016-03-30,Beggs,Roy,Mr R Beggs,MLA - East Antrim,BeggsRoy,Roy Beggs
228,"Bell, Jonathan",2011-05-05,2016-03-30,Bell,Jonathan,Mr J Bell,MLA - Strangford,BellJonathan  ,Jonathan Bell
157,"Boylan, Cathal",2011-05-05,2016-03-30,Boylan,Cathal,Mr C Boylan,MLA - Newry and Armagh,BoylanCathal,Cathal Boylan
259,"Boyle, Michaela",2011-05-05,2016-03-30,Boyle,Michaela,Ms M Boyle,MLA - West Tyrone,BoyleMichaela,Michaela Boyle
NA,"Bradley, Dominic",2011-05-05,2016-03-30,Bradley,Dominic,Mr D Bradley,MLA - Newry and Armagh,BradleyDominic,Dominic Bradley
20,"Bradley, Paula",2011-05-05,2016-03-30,Bradley,Paula,Ms P Bradley,MLA - North Belfast,BradleyPaula,Paula Bradley
262,"Buchanan, Thomas",2011-05-05,2016-03-30,Buchanan,Thomas,Mr T Buchanan,MLA - West Tyrone,BuchananThomas,Thomas Buchanan
203,"Cameron, Pam",2011-05-05,2016-03-30,Cameron,Pam,Mrs P Cameron,MLA - South Antrim,CameronPam,Pam Cameron
NA,"Campbell, Gregory",2011-05-05,2016-03-30,Campbell,Gregory,Mr G Campbell,MLA - East Londonderry,CampbellGregory,Gregory Campbell
204,"Clarke, Trevor",2011-05-05,2016-03-30,Clarke,Trevor,Mr T Clarke,MLA - South Antrim,ClarkeTrevor,Trevor Clarke
NA,"Cochrane, Judith",2011-05-05,2016-03-30,Cochrane,Judith,Mrs J Cochrane,MLA - East Belfast,CochraneJudith,Judith Cochrane
205,"Cochrane-Watson, Adrian",2015-06-29,2016-03-30,Cochrane-Watson,Adrian,Mr A Cochrane-Watson,MLA - South Antrim,Cochrane-WatsonAdrian,Adrian Cochrane-Watson
131,"Craig, Jonathan",2011-05-05,2016-03-30,Craig,Jonathan,Mr J Craig,MLA - Lagan Valley,CraigJonathan,Jonathan Craig
NA,"Cree, Leslie MBE",2011-05-05,2016-03-30,Cree,Leslie,Mr L Cree,MLA - North Down,CreeLeslie,Leslie Cree
NA,"Dallat, John",2011-05-05,2016-03-30,Dallat,John,Mr J Dallat,MLA - East Londonderry,DallatJohn,John Dallat
68,"Dickson, Stewart",2011-05-05,2016-03-30,Dickson,Stewart,Mr S Dickson,MLA - East Antrim,DicksonStewart,Stewart Dickson
114,"Diver, Gerard",2016-01-07,2016-03-30,Diver,Gerard,Mr G Diver,MLA - Foyle,DiverGerard,Gerard Diver
244,"Dobson, Jo-Anne",2011-05-05,2016-03-30,Dobson,Jo-Anne,Mrs J Dobson,MLA - Upper Bann,DobsonJo-Anne,Jo-Anne Dobson
5,"Douglas, Sammy MBE, MCA",2011-05-05,2016-03-30,Douglas,Sammy,Mr S Douglas,MLA - East Belfast,"DouglasSammyMBE, MCA",Sammy Douglas
189,"Dunne, Gordon",2011-05-05,2016-03-30,Dunne,Gordon,Mr G Dunne,MLA - North Down,DunneGordon,Gordon Dunne
116,"Durkan, Mark",2011-05-05,2016-03-30,Durkan,Mark,Mr M Durkan,MLA - Foyle,DurkanMark,Mark Durkan
190,"Easton, Alex",2011-05-05,2016-03-30,Easton,Alex,Mr A Easton,MLA - North Down,EastonAlex,Alex Easton
117,"Eastwood, Colum",2011-05-05,2016-03-30,Eastwood,Colum,Mr C Eastwood,MLA - Foyle,EastwoodColum,Colum Eastwood
192,"Farry, Stephen",2011-05-05,2016-03-30,Farry,Stephen,Dr S Farry,MLA - North Down,FarryStephen,Stephen Farry
159,"Fearon, Megan",2012-07-02,2016-03-30,Fearon,Megan,Ms M Fearon,MLA - Newry and Armagh,FearonMegan,Megan Fearon
103,"Flanagan, Phil",2011-05-05,2016-03-30,Flanagan,Phil,Mr P Flanagan,MLA - Fermanagh and South Tyrone,FlanaganPhil,Phil Flanagan
207,"Ford, David",2011-05-05,2016-03-30,Ford,David,Mr D Ford,MLA - South Antrim,FordDavid,David Ford
104,"Foster, Arlene",2011-05-05,2016-03-30,Foster,Arlene,Mrs A Foster,MLA - Fermanagh and South Tyrone,FosterArlene,Arlene Foster
174,"Frew, Paul",2011-05-05,2016-03-30,Frew,Paul,Mr P Frew,MLA - North Antrim,FrewPaul,Paul Frew
NA,"Gardiner, Samuel MBE",2011-05-05,2016-03-30,Gardiner,Samuel,Mr S Gardiner,MLA - Upper Bann,GardinerSamuelMBE,Samuel Gardiner
208,"Girvan, Paul",2011-05-05,2016-03-30,Girvan,Paul,Mr P Girvan,MLA - South Antrim,GirvanPaul,Paul Girvan
133,"Givan, Paul",2011-05-05,2016-03-30,Givan,Paul,Mr P Givan,MLA - Lagan Valley,GivanPaul,Paul Givan
134,"Hale, Brenda",2011-05-05,2016-03-30,Hale,Brenda,Mrs B Hale,MLA - Lagan Valley,HaleBrenda,Brenda Hale
233,"Hamilton, Simon",2011-05-05,2016-03-30,Hamilton,Simon,Mr S Hamilton,MLA - Strangford,HamiltonSimon,Simon Hamilton
42,"Hanna, Claire",2015-06-29,2016-03-30,Hanna,Claire,Ms C Hanna,MLA - South Belfast,HannaClaire,Claire Hanna
219,"Hazzard, Chris",2012-04-13,2016-03-30,Hazzard,Chris,Mr C Hazzard,MLA - South Down,HazzardChris,Chris Hazzard
70,"Hilditch, David",2011-05-05,2016-03-30,Hilditch,David,Mr D Hilditch,MLA - East Antrim,HilditchDavid,David Hilditch
26,"Humphrey, William",2011-05-05,2016-03-30,Humphrey,William,Mr W Humphrey,MLA - North Belfast,HumphreyWilliam,William Humphrey
266,"Hussey, Ross",2011-05-05,2016-03-30,Hussey,Ross,Mr R Hussey,MLA - West Tyrone,HusseyRoss,Ross Hussey
136,"Irwin, William",2011-05-05,2016-03-30,Irwin,William,Mr W Irwin,MLA - Newry and Armagh,IrwinWilliam,William Irwin
249,"Kelly, Dolores",2011-05-05,2016-03-30,Kelly,Dolores,Mrs D Kelly,MLA - Upper Bann,KellyDolores,Dolores Kelly
28,"Kelly, Gerry",2011-05-05,2016-03-30,Kelly,Gerry,Mr G Kelly,MLA - North Belfast,KellyGerry,Gerry Kelly
161,"Kennedy, Danny",2011-05-05,2016-03-30,Kennedy,Danny,Mr D Kennedy,MLA - Newry and Armagh,KennedyDanny,Danny Kennedy
NA,"Lo, Anna MBE",2011-05-05,2016-03-30,Lo,Anna,Ms A Lo,MLA - South Belfast,LoAnnaMBE,Anna Lo
