Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Belfast East,2,1,Andy,ALLEN,1,26,Ulster Unionist Party,,belfast-east,M
Belfast East,2,2,Ross,BROWN,0,111,Green Party,,belfast-east,M
Belfast East,2,3,Joanne,BUNTING,0,20,Democratic Unionist Party,,belfast-east,F
Belfast East,2,4,Amy,DOHERTY,0,23,Social Democratic and Labour Party,,belfast-east,F
Belfast East,2,5,Sammy,DOUGLAS,1,20,Democratic Unionist Party,,belfast-east,M
Belfast East,2,6,Andrew,GIRVIN,0,141,Traditional Unionist Voice,,belfast-east,M
Belfast East,2,7,Maggie,HUTTON,0,21,Independent,,belfast-east,F
Belfast East,2,8,John,KYLE,0,994,Progressive Unionist Party,,belfast-east,M
Belfast East,2,9,Jonny,LAVERY,0,689,UK Independence Party,,belfast-east,M
Belfast East,2,10,Naomi,LONG,0,19,Alliance Party,,belfast-east,F
Belfast East,2,11,Chris,LYTTLE,1,19,Alliance Party,,belfast-east,M
Belfast East,2,12,Chris,MCGIMPSEY,0,26,Ulster Unionist Party,,belfast-east,M
Belfast East,2,13,Tim,MORROW,0,19,Alliance Party,,belfast-east,M
Belfast East,2,14,Robin,NEWTON,1,20,Democratic Unionist Party,,belfast-east,M
Belfast East,2,15,Niall,O DONNGHAILE,0,24,Sinn Fein,,belfast-east,M
Belfast East,2,16,Courtney,ROBINSON,0,992,Labour Alternative,,belfast-east,F
Belfast East,2,17,Neil,WILSON,0,991,NI Conservatives,,belfast-east,M
Belfast North,10,18,Ken,BOYLE,0,689,UK Independence Party,,belfast-north,M
Belfast North,10,19,Paula,BRADLEY,1,20,Democratic Unionist Party,,belfast-north,F
Belfast North,10,20,Lesley,CARROLL,0,26,Ulster Unionist Party,,belfast-north,F
Belfast North,10,21,Fiona,FERGUSON,0,999,People Before Profit Alliance,,belfast-north,F
Belfast North,10,22,William,HUMPHREY,1,20,Democratic Unionist Party,,belfast-north,M
Belfast North,10,23,Billy,HUTCHINSON,0,994,Progressive Unionist Party,,belfast-north,M
Belfast North,10,24,Gerry,KELLY,1,24,Sinn Fein,,belfast-north,M
Belfast North,10,25,Nichola,MALLON,0,23,Social Democratic and Labour Party,,belfast-north,F
Belfast North,10,26,Nuala,MCALLISTER,0,19,Alliance Party,,belfast-north,F
Belfast North,10,27,Nelson,MCCAUSLAND,1,20,Democratic Unionist Party,,belfast-north,M
Belfast North,10,28,John,MILLER,0,141,Traditional Unionist Voice,,belfast-north,M
Belfast North,10,29,Caral,NI CHUILIN,1,24,Sinn Fein,,belfast-north,M
Belfast North,10,30,Malachai,OHARA,0,111,Green Party,,belfast-north,M
Belfast North,10,31,Gemma,WEIR,0,998,Workers Party,,belfast-north,F
Belfast South,13,32,Clare,BAILEY,0,111,Green Party,,belfast-south,F
Belfast South,13,33,Paula,BRADSHAW,0,19,Alliance Party,,belfast-south,F
Belfast South,13,34,Sean,BURNS,0,992,Labour Alternative,,belfast-south,M
Belfast South,13,35,Claire,HANNA,1,23,Social Democratic and Labour Party,,belfast-south,F
Belfast South,13,36,John,HIDDLESTON,0,141,Traditional Unionist Voice,,belfast-south,M
Belfast South,13,37,Lily,KERR,0,998,Workers Party,,belfast-south,F
Belfast South,13,38,Ben,MANTON,0,991,NI Conservatives,,belfast-south,M
Belfast South,13,39,Rodney,MCCUNE,0,26,Ulster Unionist Party,,belfast-south,M
Belfast South,13,40,Fearghal,MCKINNEY,1,23,Social Democratic and Labour Party,,belfast-south,M
Belfast South,13,41,Duncan,MORROW,0,19,Alliance Party,,belfast-south,M
Belfast South,13,42,Mairtin,O MUILLEOIR,1,24,Sinn Fein,,belfast-south,M
Belfast South,13,43,Ruth,PATTERSON,0,21,Independent,,belfast-south,F
Belfast South,13,44,Emma,PENGELLY,1,20,Democratic Unionist Party,,belfast-south,F
Belfast South,13,45,Ian,SHANKS,0,994,Progressive Unionist Party,,belfast-south,M
Belfast South,13,46,Christopher,STALFORD,0,20,Democratic Unionist Party,,belfast-south,M
Belfast South,13,47,Bob,STOKER,0,689,UK Independence Party,,belfast-south,M
Belfast West,17,48,Alex,ATTWOOD,1,23,Social Democratic and Labour Party,,belfast-west,M
Belfast West,17,49,Gerry,CARROLL,0,999,People Before Profit Alliance,,belfast-west,M
Belfast West,17,50,Jemima,HIGGINS,0,19,Alliance Party,,belfast-west,F
Belfast West,17,51,Gareth,MARTIN,0,26,Ulster Unionist Party,,belfast-west,M
