Party_Id,Party_Name,Party_Abbreviation,Hex_Col
19,Alliance Party,APNI,#ffe600
20,Democratic Unionist Party,DUP,#ff8000
111,Green Party,GPNI,#33ff33
21,Independent,IND,#669999
24,Sinn Fein,SF,#009900
23,Social Democratic and Labour Party,SDLP,#cc3300
141,Traditional Unionist Voice,TUV,#0000e6
689,UK Independence Party,UKIP,#cc00cc
26,Ulster Unionist Party,UUP,#62cae7
999,People Before Profit Alliance,PBP,#ff3399
998,Workers Party,WP,#ff0000
994,Progressive Unionist Party,PUP,#1e0082
993,Cannabis Is Safer Than Alcohol,CISTA,#ff7979
992,Labour Alternative,LABALT,#ca0000
991,NI Conservatives,CON,#362da7
990,South Belfast Unionists,SBU,#9195FF
989,NI Labour Representation Committee,LRC,#800000
988,Northern Ireland First,NIF,#B3D71D
987,Cross-Community Labour Alternative,CCLAB,#CE1D4D 
986,Democracy First,DF,#D7761D 
985,Animal Welfare Party,AWP,#CE1D99 
