Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Candidate_First_Pref_Votes,Status,Occurred_On_Count,Gender,Twitter
Belfast East,2,1,Andy,ALLEN,1,26,Ulster Unionist Party,3047,Elected,12,M,@AndyAllen88
Belfast East,2,2,Ross,BROWN,0,111,Green Party,2183,Excluded,13,M,@voterossbrown
Belfast East,2,3,Joanne,BUNTING,0,20,Democratic Unionist Party,5538,Elected,1,F,@Joanne_Bunting
Belfast East,2,4,Amy,DOHERTY,0,23,Social Democratic and Labour Party,141,Excluded,2,F,@amyrdoc
Belfast East,2,5,Sammy,DOUGLAS,1,20,Democratic Unionist Party,4230,Elected,12,M,@sammydouglasdup
Belfast East,2,6,Andrew,GIRVIN,0,141,Traditional Unionist Voice,887,Excluded,8,M,
Belfast East,2,7,Erskine,HOLMES,0,989,NI Labour Representation Committee,78,Excluded,1,M,@Sherlocker2
Belfast East,2,8,Maggie,HUTTON,0,21,Independent,1099,Excluded,9,F,
Belfast East,2,9,John,KYLE,0,994,Progressive Unionist Party,1772,Excluded,11,M,@cllrjohnkyle
Belfast East,2,10,Jonny,LAVERY,0,689,UK Independence Party,631,Excluded,6,M,@JLaveryUKIP
Belfast East,2,11,Naomi,LONG,0,19,Alliance Party,5482,Elected,1,F,@naomi_long
Belfast East,2,12,Chris,LYTTLE,1,19,Alliance Party,2805,Elected,13,M,@Chris_Lyttle
Belfast East,2,13,Chris,MCGIMPSEY,0,26,Ulster Unionist Party,1095,Excluded,10,M,@CllrMcGimpsey
Belfast East,2,14,Tim,MORROW,0,19,Alliance Party,2372,Excluded,12,M,@TimMorrow_
Belfast East,2,15,Robin,NEWTON,1,20,Democratic Unionist Party,3875,Elected,13,M,@RobinNewton4MLA
Belfast East,2,16,Niall,O DONNGHAILE,0,24,Sinn Fein,946,Excluded,7,M,@NiallSF
Belfast East,2,17,Courtney,ROBINSON,0,992,Labour Alternative,517,Excluded,5,F,@Coroweee
Belfast East,2,18,Neil,WILSON,0,991,NI Conservatives,477,Excluded,4,M,@neil4ebelfast
