Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Belfast North,10,18,Ken,BOYLE,0,689,UK Independence Party,,belfast-north,M
Belfast North,10,19,Paula,BRADLEY,1,20,Democratic Unionist Party,,belfast-north,F
Belfast North,10,20,Lesley,CARROLL,0,26,Ulster Unionist Party,,belfast-north,F
Belfast North,10,21,Fiona,FERGUSON,0,999,People Before Profit Alliance,,belfast-north,F
Belfast North,10,22,William,HUMPHREY,1,20,Democratic Unionist Party,,belfast-north,M
Belfast North,10,23,Billy,HUTCHINSON,0,994,Progressive Unionist Party,,belfast-north,M
Belfast North,10,24,Gerry,KELLY,1,24,Sinn Fein,,belfast-north,M
Belfast North,10,25,Nichola,MALLON,0,23,Social Democratic and Labour Party,,belfast-north,F
Belfast North,10,26,Nuala,MCALLISTER,0,19,Alliance Party,,belfast-north,F
Belfast North,10,27,Nelson,MCCAUSLAND,1,20,Democratic Unionist Party,,belfast-north,M
Belfast North,10,28,John,MILLER,0,141,Traditional Unionist Voice,,belfast-north,M
Belfast North,10,29,Caral,NI CHUILIN,1,24,Sinn Fein,,belfast-north,M
Belfast North,10,30,Malachai,OHARA,0,111,Green Party,,belfast-north,M
Belfast North,10,31,Gemma,WEIR,0,998,Workers Party,,belfast-north,F
