Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Belfast South,13,32,Clare,BAILEY,0,111,Green Party,,belfast-south,F
Belfast South,13,33,Paula,BRADSHAW,0,19,Alliance Party,,belfast-south,F
Belfast South,13,34,Sean,BURNS,0,992,Labour Alternative,,belfast-south,M
Belfast South,13,35,Claire,HANNA,1,23,Social Democratic and Labour Party,,belfast-south,F
Belfast South,13,36,John,HIDDLESTON,0,141,Traditional Unionist Voice,,belfast-south,M
Belfast South,13,37,Lily,KERR,0,998,Workers Party,,belfast-south,F
Belfast South,13,38,Ben,MANTON,0,991,NI Conservatives,,belfast-south,M
Belfast South,13,39,Rodney,MCCUNE,0,26,Ulster Unionist Party,,belfast-south,M
Belfast South,13,40,Fearghal,MCKINNEY,1,23,Social Democratic and Labour Party,,belfast-south,M
Belfast South,13,41,Duncan,MORROW,0,19,Alliance Party,,belfast-south,M
Belfast South,13,42,Mairtin,O MUILLEOIR,1,24,Sinn Fein,,belfast-south,M
Belfast South,13,43,Ruth,PATTERSON,0,21,Independent,,belfast-south,F
Belfast South,13,44,Emma,PENGELLY,1,20,Democratic Unionist Party,,belfast-south,F
Belfast South,13,45,Ian,SHANKS,0,994,Progressive Unionist Party,,belfast-south,M
Belfast South,13,46,Christopher,STALFORD,0,20,Democratic Unionist Party,,belfast-south,M
Belfast South,13,47,Bob,STOKER,0,689,UK Independence Party,,belfast-south,M
