Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
17,55,1,Alex,ATTWOOD,2647,0,2647,,,Social Democratic and Labour Party
17,56,1,Conor,CAMPBELL,532,0,532,,,Workers Party
17,57,1,Gerry,CARROLL,8299,0,8299,Elected,1,People Before Profit Alliance
17,58,1,Jemima,HIGGINS,291,0,291,,,Alliance Party
17,59,1,Gareth Thomas,MARTIN,654,0,654,,,Ulster Unionist Party
17,60,1,Alex,MASKEY,4769,0,4769,,,Sinn Fein
17,61,1,Fra,MCCANN,4028,0,4028,,,Sinn Fein
17,62,1,Jennifer,MCCANN,4386,0,4386,,,Sinn Fein
17,63,1,Rosie,MCCORLEY,3053,0,3053,,,Sinn Fein
17,64,1,Frank,MCCOUBREY,3766,0,3766,,,Democratic Unionist Party
17,65,1,Ellen,MURRAY,327,0,327,,,Green Party
17,66,1,Pat,SHEEHAN,3516,0,3516,,,Sinn Fein
