Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
East Londonderry,3,73,Caoimhe,ARCHIBALD,0,24,Sinn Fein,,east-londonderry,F
East Londonderry,3,74,Jordan,ARMSTRONG,0,141,Traditional Unionist Voice,,east-londonderry,M
East Londonderry,3,75,Yvonne,BOYLE,0,19,Alliance Party,,east-londonderry,F
East Londonderry,3,76,Maurice,BRADLEY,0,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,77,Aaron,CALLAN,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,78,Stuart,CANNING,0,991,NI Conservatives,,east-londonderry,M
East Londonderry,3,79,Amber,HAMMILL,0,111,Green Party,,east-londonderry,F
East Londonderry,3,80,William,MCCANDLESS,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,81,Adrian,MCQUILLAN,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,82,Gerry,MULLAN,0,23,Social Democratic and Labour Party,,east-londonderry,M
East Londonderry,3,83,Cathal,O HOISIN,1,24,Sinn Fein,,east-londonderry,M
East Londonderry,3,84,Steven,PARKHILL,0,689,UK Independence Party,,east-londonderry,M
East Londonderry,3,85,George,ROBINSON,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,86,Claire,SUGDEN,1,21,Independent,,east-londonderry,F
East Londonderry,3,87,Russell,WATTON,0,994,Progressive Unionist Party,,east-londonderry,M
