Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Fermanagh and South Tyrone,4,91,Rosemary,BARTON,0,26,Ulster Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,92,Kerri,BLYBERG,0,19,Alliance Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,93,Donald,CRAWFORD,0,141,Traditional Unionist Voice,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,94,John,FEELEY,0,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,95,Phil,FLANAGAN,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,96,Arlene,FOSTER,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,97,Michelle,GILDERNEW,0,24,Sinn Fein,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,98,Tanya,JONES,0,111,Green Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,99,Sean,LYNCH,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,100,Richie,MCPHILLIPS,0,23,Social Democratic and Labour Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,101,Maurice,MORROW,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,102,Alastair,PATTERSON,1,26,Ulster Unionist Party,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,103,Damien,HARRIS,0,21,Independent,,fermanagh-south-tyrone,M
