Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Lagan Valley,6,118,Daniel,BARRIOS-ONEIL,0,111,Green Party,,lagan-valley,M
Lagan Valley,6,119,Robbie,BUTLER,0,26,Ulster Unionist Party,,lagan-valley,M
Lagan Valley,6,120,Pat,CATNEY,0,23,Social Democratic and Labour Party,,lagan-valley,M
Lagan Valley,6,121,Jonathan,CRAIG,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,122,Paul,GIVAN,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,123,Brenda,HALE,1,20,Democratic Unionist Party,,lagan-valley,F
Lagan Valley,6,124,Brian,HIGGINSON,0,689,UK Independence Party,,lagan-valley,M
Lagan Valley,6,125,Jack,IRWIN,0,991,NI Conservatives,,lagan-valley,M
Lagan Valley,6,126,Trevor,LUNN,1,19,Alliance Party,,lagan-valley,M
Lagan Valley,6,127,Jenny,PALMER,0,26,Ulster Unionist Party,,lagan-valley,F
Lagan Valley,6,128,Edwin,POOTS,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,129,Lyle,REA,0,141,Traditional Unionist Voice,,lagan-valley,M
