Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Mid Ulster,7,130,Keith,BUCHANAN,0,20,Democratic Unionist Party,,mid-ulster,M
Mid Ulster,7,131,Alan,DAY,0,689,UK Independence Party,,mid-ulster,M
Mid Ulster,7,132,Linda,DILLON,0,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,133,Neidin,HENDRON,0,19,Alliance Party,,mid-ulster,F
Mid Ulster,7,134,Hannah,LOUGHRIN,0,141,Traditional Unionist Voice,,mid-ulster,F
Mid Ulster,7,135,Ian,MCCREA,1,20,Democratic Unionist Party,,mid-ulster,M
Mid Ulster,7,136,Patsy,MCGLONE,1,23,Social Democratic and Labour Party,,mid-ulster,M
Mid Ulster,7,137,Ian,MILNE,1,24,Sinn Fein,,mid-ulster,M
Mid Ulster,7,138,Michelle,ONEILL,1,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,139,Sandra,OVEREND,1,26,Ulster Unionist Party,,mid-ulster,F
Mid Ulster,7,140,Hugh,SCULLION,0,998,Workers Party,,mid-ulster,M
Mid Ulster,7,141,Stefan,TAYLOR,0,111,Green Party,,mid-ulster,M
