Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
7,144,1,Keith Alexandra,BUCHANAN,,0,,,,Democratic Unionist Party
7,145,1,Alan,DAY,,0,,,,UK Independence Party
7,146,1,Linda,DILLON,,0,,,,Sinn Fein
7,147,1,Neidin,HENDRON,,0,,,,Alliance Party
7,148,1,Hannah,LOUGHRIN,,0,,,,Traditional Unionist Voice
7,149,1,Ian,MCCREA,,0,,,,Democratic Unionist Party
7,150,1,Patsy,MCGLONE,,0,,,,Social Democratic and Labour Party
7,151,1,Ian,MILNE,,0,,,,Sinn Fein
7,152,1,Michelle,ONEILL,,0,,,,Sinn Fein
7,153,1,Sandra,OVEREND,,0,,,,Ulster Unionist Party
7,154,1,Hugh,SCULLION,,0,,,,Workers Party
7,155,1,Stefan,TAYLOR,,0,,,,Green Party
