Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Newry and Armagh,8,142,Paul,BERRY ,0,21,Independent,,newry-armagh,M
Newry and Armagh,8,143,Cathal,BOYLAN,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,144,Emmet,CROSSAN,0,993,Cannabis Is Safer Than Alcohol,,newry-armagh,M
Newry and Armagh,8,145,Megan,FEARON,1,24,Sinn Fein,,newry-armagh,F
Newry and Armagh,8,146,William,IRWIN,1,20,Democratic Unionist Party,,newry-armagh,M
Newry and Armagh,8,147,Danny,KENNEDY,1,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,148,Alan,LOVE,0,689,UK Independence Party,,newry-armagh,M
Newry and Armagh,8,149,Karen,MCKEVITT,1,23,Social Democratic and Labour Party,,newry-armagh,F
Newry and Armagh,8,150,Justin,MCNULTY,0,23,Social Democratic and Labour Party,,newry-armagh,M
Newry and Armagh,8,151,Conor,MURPHY,1,24,Sinn Fein,,newry-armagh,M
Newry and Armagh,8,152,Sam,NICHOLSON,0,26,Ulster Unionist Party,,newry-armagh,M
Newry and Armagh,8,153,Michael,WATTERS,0,111,Green Party,,newry-armagh,M
Newry and Armagh,8,154,Craig,WEIR,0,19,Alliance Party,,newry-armagh,M
