Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
North Antrim,9,152,Jim,ALLISTER,1,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,153,Donna,ANDERSON,0,689,UK Independence Party,,north-antrim,F
North Antrim,9,154,Jenny,BRESLIN,0,111,Green Party,,north-antrim,F
North Antrim,9,155,Connor,DUNCAN,0,23,Social Democratic and Labour Party,,north-antrim,M
North Antrim,9,156,Paul,FREW,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,157,Timothy,GASTON,0,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,158,Phillip,LOGAN,0,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,159,Stephen,MCFARLAND,0,19,Alliance Party,,north-antrim,M
North Antrim,9,160,David,MCILVEEN,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,161,Daithi,MCKAY,1,24,Sinn Fein,,north-antrim,M
North Antrim,9,162,James,SIMPSON,0,991,NI Conservatives,,north-antrim,M
North Antrim,9,163,Mervyn,STOREY,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,164,Robin,SWANN,1,26,Ulster Unionist Party,,north-antrim,M
North Antrim,9,165,Andrew,WRIGHT,0,26,Ulster Unionist Party,,north-antrim,M
