Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
9,170,1,Jim,ALLISTER,,0,,,,Traditional Unionist Voice
9,171,1,Donna,ANDERSON,,0,,,,UK Independence Party
9,172,1,Jenny,BRESLIN,,0,,,,Green Party
9,173,1,Connor,DUNCAN,,0,,,,Social Democratic and Labour Party
9,174,1,Paul,FREW,,0,,,,Democratic Unionist Party
9,175,1,Timothy,GASTON,,0,,,,Traditional Unionist Voice
9,176,1,Kathryn,JOHNSTON,,0,,,,NI Labour Representation Committee
9,177,1,Phillip,LOGAN,,0,,,,Democratic Unionist Party
9,178,1,Stephen,MCFARLAND,,0,,,,Alliance Party
9,179,1,David,MCILVEEN,,0,,,,Democratic Unionist Party
9,180,1,Daithi Gerard,MCKAY,,0,,,,Sinn Fein
9,181,1,James,SIMPSON,,0,,,,NI Conservatives
9,182,1,Mervyn,STOREY,,0,,,,Democratic Unionist Party
9,183,1,Robin,SWANN,,0,,,,Ulster Unionist Party
9,184,1,Andrew,WRIGHT,,0,,,,Ulster Unionist Party
