Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
South Down,14,194,Sinead,BRADLEY,0,23,Social Democratic and Labour Party,,south-down,F
South Down,14,195,Patrick,BROWN,0,19,Alliance Party,,south-down,M
South Down,14,196,Michael,GRAY-SLOAN,0,24,Sinn Fein,,south-down,M
South Down,14,197,John,HARDY,0,111,Green Party,,south-down,M
South Down,14,198,Chris,HAZZARD,1,24,Sinn Fein,,south-down,M
South Down,14,199,John,MCCALLISTER,1,21,Independent,,south-down,M
South Down,14,200,Colin,MCGRATH,0,23,Social Democratic and Labour Party,,south-down,M
South Down,14,201,Harold,MCKEE,0,26,Ulster Unionist Party,,south-down,M
South Down,14,202,Henry,REILLY,0,141,Traditional Unionist Voice,,south-down,M
South Down,14,203,Sean,ROGERS,1,23,Social Democratic and Labour Party,,south-down,M
South Down,14,204,Caitriona,RUANE,1,24,Sinn Fein,,south-down,F
South Down,14,205,Jim,WELLS,1,20,Democratic Unionist Party,,south-down,M
