Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Strangford,15,206,Kellie,ARMSTRONG,0,19,Alliance Party,,strangford,F
Strangford,15,207,Jonathan,BELL,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,208,Joe,BOYLE,0,23,Social Democratic and Labour Party,,strangford,M
Strangford,15,209,Stephen,COOPER,0,141,Traditional Unionist Voice,,strangford,M
Strangford,15,210,Stephen,CROSBY,0,689,UK Independence Party,,strangford,M
Strangford,15,211,Georgia,GRAINGER,0,111,Green Party,,strangford,F
Strangford,15,212,Simon,HAMILTON,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,213,Harry,HARVEY,0,20,Democratic Unionist Party,,strangford,M
Strangford,15,214,Michelle,MCILVEEN,1,20,Democratic Unionist Party,,strangford,F
Strangford,15,215,Bill,MCKENDRY,0,991,NI Conservatives,,strangford,M
Strangford,15,216,Mike,NESBITT,1,26,Ulster Unionist Party,,strangford,M
Strangford,15,217,Philip,SMITH,0,26,Ulster Unionist Party,,strangford,M
