Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Upper Bann,16,221,Sydney,ANDERSON,1,20,Democratic Unionist Party,,upper-bann,M
Upper Bann,16,222,Doug,BEATTIE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,223,Joanne,DOBSON,1,26,Ulster Unionist Party,,upper-bann,F
Upper Bann,16,224,Roy,FERGUSON,0,141,Traditional Unionist Voice,,upper-bann,M
Upper Bann,16,225,Harry,HAMILTON,0,19,Alliance Party,,upper-bann,M
Upper Bann,16,226,David,JONES,0,689,UK Independence Party,,upper-bann,M
Upper Bann,16,227,Dolores,KELLY,1,23,Social Democratic and Labour Party,,upper-bann,F
Upper Bann,16,228,Martin,KELLY,0,993,Cannabis Is Safer Than Alcohol,,upper-bann,M
Upper Bann,16,229,Simon,LEE,0,111,Green Party,,upper-bann,M
Upper Bann,16,230,Carla,LOCKHART,0,20,Democratic Unionist Party,,upper-bann,F
Upper Bann,16,231,Sophie,LONG,0,994,Progressive Unionist Party,,upper-bann,F
Upper Bann,16,232,Ian,NICKELS,0,991,NI Conservatives,,upper-bann,M
Upper Bann,16,233,John,ODOWD,1,24,Sinn Fein,,upper-bann,M
Upper Bann,16,234,Kyle,SAVAGE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,235,Catherine,SEELEY,0,24,Sinn Fein,,upper-bann,F
