Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
16,242,1,Sydney Alexander,ANDERSON,6195,0,6195,,,Democratic Unionist Party
16,243,1,Doug,BEATTIE,2969,0,2969,,,Ulster Unionist Party
16,244,1,Jo-Anne,DOBSON,5155,0,5155,,,Ulster Unionist Party
16,245,1,Roy,FERGUSON,1177,0,1177,,,Traditional Unionist Voice
16,246,1,Harry,HAMILTON,1424,0,1424,,,Alliance Party
16,247,1,Emma,HUTCHINSON,250,0,250,,,NI Labour Representation Committee
16,248,1,David,JONES,1072,0,1072,,,UK Independence Party
16,249,1,Dolores,KELLY,4335,0,4335,,,Social Democratic and Labour Party
16,250,1,Martin,KELLY,672,0,672,,,Cannabis Is Safer Than Alcohol
16,251,1,Simon,LEE,495,0,495,,,Green Party
16,252,1,Carla,LOCKHART,7993,0,7993,Elected,1,Democratic Unionist Party
16,253,1,Sophie,LONG,704,0,704,,,Progressive Unionist Party
16,254,1,Stephen,MCCARROLL,33,0,33,,,Independent
16,255,1,Ian Keith,NICKELS,79,0,79,,,NI Conservatives
16,256,1,John,ODOWD,5209,0,5209,,,Sinn Fein
16,257,1,Kyle,SAVAGE,1760,0,1760,,,Ulster Unionist Party
16,258,1,Catherine,SEELEY,6164,0,6164,,,Sinn Fein
16,242,2,Sydney Alexander,ANDERSON,6195,1020.78,7215.78,Elected,2,Democratic Unionist Party
16,243,2,Doug,BEATTIE,2969,21.42,2990.42,,,Ulster Unionist Party
16,244,2,Jo-Anne,DOBSON,5155,164.52,5319.52,,,Ulster Unionist Party
16,245,2,Roy,FERGUSON,1177,30.6,1207.6,,,Traditional Unionist Voice
16,246,2,Harry,HAMILTON,1424,9.18,1433.18,,,Alliance Party
16,247,2,Emma,HUTCHINSON,250,0.9,250.9,,,NI Labour Representation Committee
16,248,2,David,JONES,1072,17.64,1089.64,,,UK Independence Party
16,249,2,Dolores,KELLY,4335,4.86,4339.86,,,Social Democratic and Labour Party
16,250,2,Martin,KELLY,672,3.42,675.42,,,Cannabis Is Safer Than Alcohol
16,251,2,Simon,LEE,495,1.8,496.8,,,Green Party
16,252,2,Carla,LOCKHART,7993,-1466,6527,Elected,1,Democratic Unionist Party
16,253,2,Sophie,LONG,704,26.46,730.46,,,Progressive Unionist Party
16,254,2,Stephen,MCCARROLL,33,1.44,34.44,,,Independent
16,255,2,Ian Keith,NICKELS,79,1.44,80.44,,,NI Conservatives
16,256,2,John,ODOWD,5209,0.9,5209.9,,,Sinn Fein
16,257,2,Kyle,SAVAGE,1760,117,1877,,,Ulster Unionist Party
16,258,2,Catherine,SEELEY,6164,0.9,6164.9,,,Sinn Fein
16,242,3,Sydney Alexander,ANDERSON,6195,-688.78,6527,Elected,2,Democratic Unionist Party
16,243,3,Doug,BEATTIE,2969,95.16,3085.58,,,Ulster Unionist Party
16,244,3,Jo-Anne,DOBSON,5155,279.24,5598.76,,,Ulster Unionist Party
16,245,3,Roy,FERGUSON,1177,67.73,1275.33,,,Traditional Unionist Voice
16,246,3,Harry,HAMILTON,1424,6.76,1439.94,,,Alliance Party
16,247,3,Emma,HUTCHINSON,250,1.04,251.94,Excluded,3,NI Labour Representation Committee
16,248,3,David,JONES,1072,31.59,1121.23,,,UK Independence Party
16,249,3,Dolores,KELLY,4335,2.86,4342.72,,,Social Democratic and Labour Party
16,250,3,Martin,KELLY,672,2.6,678.02,,,Cannabis Is Safer Than Alcohol
16,251,3,Simon,LEE,495,1.43,498.23,,,Green Party
16,252,3,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,3,Sophie,LONG,704,25.61,756.07,,,Progressive Unionist Party
16,254,3,Stephen,MCCARROLL,33,2.73,37.17,Excluded,3,Independent
16,255,3,Ian Keith,NICKELS,79,2.6,83.04,Excluded,3,NI Conservatives
16,256,3,John,ODOWD,5209,0.52,5210.42,,,Sinn Fein
16,257,3,Kyle,SAVAGE,1760,146.25,2023.25,,,Ulster Unionist Party
16,258,3,Catherine,SEELEY,6164,0.39,6165.29,,,Sinn Fein
16,242,4,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,4,Doug,BEATTIE,2969,22.8,3108.38,,,Ulster Unionist Party
16,244,4,Jo-Anne,DOBSON,5155,38.45,5637.21,,,Ulster Unionist Party
16,245,4,Roy,FERGUSON,1177,5.91,1281.24,,,Traditional Unionist Voice
16,246,4,Harry,HAMILTON,1424,84.44,1524.38,,,Alliance Party
16,247,4,Emma,HUTCHINSON,250,-251.94,0,Excluded,3,NI Labour Representation Committee
16,248,4,David,JONES,1072,9,1130.23,,,UK Independence Party
16,249,4,Dolores,KELLY,4335,48.13,4390.85,,,Social Democratic and Labour Party
16,250,4,Martin,KELLY,672,24.18,702.2,,,Cannabis Is Safer Than Alcohol
16,251,4,Simon,LEE,495,57.13,555.36,Excluded,4,Green Party
16,252,4,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,4,Sophie,LONG,704,4.18,760.25,,,Progressive Unionist Party
16,254,4,Stephen,MCCARROLL,33,-37.17,0,Excluded,3,Independent
16,255,4,Ian Keith,NICKELS,79,-83.04,0,Excluded,3,NI Conservatives
16,256,4,John,ODOWD,5209,9.13,5219.55,,,Sinn Fein
16,257,4,Kyle,SAVAGE,1760,16.5,2039.75,,,Ulster Unionist Party
16,258,4,Catherine,SEELEY,6164,13.18,6178.47,,,Sinn Fein
16,242,5,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,5,Doug,BEATTIE,2969,13.39,3121.77,,,Ulster Unionist Party
16,244,5,Jo-Anne,DOBSON,5155,23.62,5660.83,,,Ulster Unionist Party
16,245,5,Roy,FERGUSON,1177,1,1282.24,,,Traditional Unionist Voice
16,246,5,Harry,HAMILTON,1424,187.72,1712.1,,,Alliance Party
16,247,5,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,5,David,JONES,1072,12,1142.23,,,UK Independence Party
16,249,5,Dolores,KELLY,4335,71,4461.85,,,Social Democratic and Labour Party
16,250,5,Martin,KELLY,672,105.26,807.46,,,Cannabis Is Safer Than Alcohol
16,251,5,Simon,LEE,495,-555.36,0,Excluded,4,Green Party
16,252,5,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
16,253,5,Sophie,LONG,704,9.18,769.43,Excluded,5,Progressive Unionist Party
16,254,5,Stephen,MCCARROLL,33,0,0,Excluded,3,Independent
16,255,5,Ian Keith,NICKELS,79,0,0,Excluded,3,NI Conservatives
16,256,5,John,ODOWD,5209,26,5245.55,,,Sinn Fein
16,257,5,Kyle,SAVAGE,1760,9,2048.75,,,Ulster Unionist Party
16,258,5,Catherine,SEELEY,6164,44,6222.47,,,Sinn Fein
16,242,6,Sydney Alexander,ANDERSON,6195,0,6527,Elected,2,Democratic Unionist Party
16,243,6,Doug,BEATTIE,2969,173.32,3295.09,,,Ulster Unionist Party
16,244,6,Jo-Anne,DOBSON,5155,203.13,5863.96,,,Ulster Unionist Party
16,245,6,Roy,FERGUSON,1177,94.52,1376.76,,,Traditional Unionist Voice
16,246,6,Harry,HAMILTON,1424,24.8,1736.9,,,Alliance Party
16,247,6,Emma,HUTCHINSON,250,0,0,Excluded,3,NI Labour Representation Committee
16,248,6,David,JONES,1072,120.45,1262.68,,,UK Independence Party
16,249,6,Dolores,KELLY,4335,10.31,4472.16,,,Social Democratic and Labour Party
16,250,6,Martin,KELLY,672,21.18,828.64,Excluded,6,Cannabis Is Safer Than Alcohol
16,251,6,Simon,LEE,495,0,0,Excluded,4,Green Party
16,252,6,Carla,LOCKHART,7993,0,6527,Elected,1,Democratic Unionist Party
