Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
West Tyrone,18,236,Michaela,BOYLE,1,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,237,Allan,BRESLAND,0,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,238,Barry,BROWN,0,993,Cannabis Is Safer Than Alcohol,,west-tyrone,M
West Tyrone,18,239,Tom,BUCHANAN,1,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,240,Josephine,DEENAN,0,21,Independent,,west-tyrone,F
West Tyrone,18,241,Stephen,DONNELLY,0,19,Alliance Party,,west-tyrone,M
West Tyrone,18,242,Corey,FRENCH,0,21,Independent,,west-tyrone,M
West Tyrone,18,243,Ross,HUSSEY,1,26,Ulster Unionist Party,,west-tyrone,M
West Tyrone,18,244,Patsy,KELLY,0,21,Independent,,west-tyrone,M
West Tyrone,18,245,Roger,LOMAS,0,991,NI Conservatives,,west-tyrone,M
West Tyrone,18,246,Declan,MCALEER,1,24,Sinn Fein,,west-tyrone,M
West Tyrone,18,247,Sorcha,MCANESPY,0,21,Independent,,west-tyrone,F
West Tyrone,18,248,Ciaran,MCCLEAN,0,111,Green Party,,west-tyrone,M
West Tyrone,18,249,Daniel,MCCROSSAN,1,23,Social Democratic and Labour Party,,west-tyrone,M
West Tyrone,18,250,Grace,MCDERMOTT,0,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,251,Barry,MCELDUFF,1,24,Sinn Fein,,west-tyrone,M
