Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
18,259,1,Michaela,BOYLE,4460,0,4460,,,Sinn Fein
18,260,1,Allan,BRESLAND,3884,0,3884,,,Democratic Unionist Party
18,261,1,Barry,BROWN,547,0,547,,,Cannabis Is Safer Than Alcohol
18,262,1,Thomas,BUCHANAN,4650,0,4650,,,Democratic Unionist Party
18,263,1,Josephine Anne,DEENAN,1778,0,1778,,,Independent
18,264,1,Stephen,DONNELLY,494,0,494,,,Alliance Party
18,265,1,Corey,FRENCH,124,0,124,,,Independent
18,266,1,Ross,HUSSEY,4441,0,4441,,,Ulster Unionist Party
18,267,1,Patsy,KELLY,661,0,661,,,Independent
18,268,1,Roger,LOMAS,44,0,44,Excluded,1,NI Conservatives
18,269,1,Declan,MCALEER,3565,0,3565,,,Sinn Fein
18,270,1,Laura,MCANEA,224,0,224,,,Animal Welfare Party
18,271,1,Sorcha,MCANESPY,828,0,828,,,Independent
18,272,1,Ciaran,MCCLEAN,458,0,458,,,Green Party
18,273,1,Daniel,MCCROSSAN,4287,0,4287,,,Social Democratic and Labour Party
18,274,1,Grace,MCDERMOTT,3711,0,3711,,,Sinn Fein
18,275,1,Barry,MCELDUFF,4568,0,4568,,,Sinn Fein
18,276,1,Susan-Anne,WHITE,85,0,85,,,Independent
18,259,2,Michaela,BOYLE,4460,0,4460,,,Sinn Fein
18,260,2,Allan,BRESLAND,3884,3,3887,,,Democratic Unionist Party
18,261,2,Barry,BROWN,547,2,549,,,Cannabis Is Safer Than Alcohol
18,262,2,Thomas,BUCHANAN,4650,2,4652,,,Democratic Unionist Party
18,263,2,Josephine Anne,DEENAN,1778,1,1779,,,Independent
18,264,2,Stephen,DONNELLY,494,1,495,,,Alliance Party
18,265,2,Corey,FRENCH,124,1,125,Excluded,2,Independent
18,266,2,Ross,HUSSEY,4441,13,4454,,,Ulster Unionist Party
18,267,2,Patsy,KELLY,661,1,662,,,Independent
18,268,2,Roger,LOMAS,44,-44,0,Excluded,1,NI Conservatives
18,269,2,Declan,MCALEER,3565,1,3566,,,Sinn Fein
18,270,2,Laura,MCANEA,224,1,225,Excluded,2,Animal Welfare Party
18,271,2,Sorcha,MCANESPY,828,0,828,,,Independent
18,272,2,Ciaran,MCCLEAN,458,3,461,,,Green Party
18,273,2,Daniel,MCCROSSAN,4287,10,4297,,,Social Democratic and Labour Party
18,274,2,Grace,MCDERMOTT,3711,0,3711,,,Sinn Fein
18,275,2,Barry,MCELDUFF,4568,0,4568,,,Sinn Fein
18,276,2,Susan-Anne,WHITE,85,1,86,Excluded,2,Independent
18,259,3,Michaela,BOYLE,4460,35,4495,,,Sinn Fein
18,260,3,Allan,BRESLAND,3884,10,3897,,,Democratic Unionist Party
18,261,3,Barry,BROWN,547,33,582,,,Cannabis Is Safer Than Alcohol
18,262,3,Thomas,BUCHANAN,4650,21,4673,,,Democratic Unionist Party
18,263,3,Josephine Anne,DEENAN,1778,39,1818,,,Independent
18,264,3,Stephen,DONNELLY,494,11,506,Excluded,3,Alliance Party
18,265,3,Corey,FRENCH,124,-125,0,Excluded,2,Independent
18,266,3,Ross,HUSSEY,4441,32,4486,,,Ulster Unionist Party
18,267,3,Patsy,KELLY,661,41,703,,,Independent
18,268,3,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,3,Declan,MCALEER,3565,9,3575,,,Sinn Fein
18,270,3,Laura,MCANEA,224,-225,0,Excluded,2,Animal Welfare Party
18,271,3,Sorcha,MCANESPY,828,21,849,,,Independent
18,272,3,Ciaran,MCCLEAN,458,52,513,,,Green Party
18,273,3,Daniel,MCCROSSAN,4287,46,4343,,,Social Democratic and Labour Party
18,274,3,Grace,MCDERMOTT,3711,10,3721,,,Sinn Fein
18,275,3,Barry,MCELDUFF,4568,20,4588,,,Sinn Fein
18,276,3,Susan-Anne,WHITE,85,-86,0,Excluded,2,Independent
18,259,4,Michaela,BOYLE,4460,10,4505,,,Sinn Fein
18,260,4,Allan,BRESLAND,3884,5,3902,,,Democratic Unionist Party
18,261,4,Barry,BROWN,547,30,612,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,4,Thomas,BUCHANAN,4650,12,4685,,,Democratic Unionist Party
18,263,4,Josephine Anne,DEENAN,1778,75,1893,,,Independent
18,264,4,Stephen,DONNELLY,494,-506,0,Excluded,3,Alliance Party
18,265,4,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,4,Ross,HUSSEY,4441,77,4563,,,Ulster Unionist Party
18,267,4,Patsy,KELLY,661,23,726,,,Independent
18,268,4,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,4,Declan,MCALEER,3565,6,3581,,,Sinn Fein
18,270,4,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,4,Sorcha,MCANESPY,828,22,871,,,Independent
18,272,4,Ciaran,MCCLEAN,458,106,619,,,Green Party
18,273,4,Daniel,MCCROSSAN,4287,91,4434,,,Social Democratic and Labour Party
18,274,4,Grace,MCDERMOTT,3711,6,3727,,,Sinn Fein
18,275,4,Barry,MCELDUFF,4568,9,4597,,,Sinn Fein
18,276,4,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,5,Michaela,BOYLE,4460,69,4574,,,Sinn Fein
18,260,5,Allan,BRESLAND,3884,17,3919,,,Democratic Unionist Party
18,261,5,Barry,BROWN,547,-612,0,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,5,Thomas,BUCHANAN,4650,14,4699,,,Democratic Unionist Party
18,263,5,Josephine Anne,DEENAN,1778,51,1944,,,Independent
18,264,5,Stephen,DONNELLY,494,0,0,Excluded,3,Alliance Party
18,265,5,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,5,Ross,HUSSEY,4441,33,4596,,,Ulster Unionist Party
18,267,5,Patsy,KELLY,661,16,742,,,Independent
18,268,5,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,5,Declan,MCALEER,3565,38,3619,,,Sinn Fein
18,270,5,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,5,Sorcha,MCANESPY,828,61,932,,,Independent
18,272,5,Ciaran,MCCLEAN,458,95,714,Excluded,5,Green Party
18,273,5,Daniel,MCCROSSAN,4287,48,4482,,,Social Democratic and Labour Party
18,274,5,Grace,MCDERMOTT,3711,23,3750,,,Sinn Fein
18,275,5,Barry,MCELDUFF,4568,74,4671,,,Sinn Fein
18,276,5,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
