Constituency_Number,Constituency_Name,ONS_Code,Constituency_Code,Directory,Voting_Age_Pop,mapit_id
2,Belfast East,N06000001,BE,belfast-east,74065,16987
10,Belfast North,N06000002,BN,belfast-north,78914,16985
13,Belfast South,N06000003,BS,belfast-south,91756,16988
17,Belfast West,N06000004,BW,belfast-west,69817,16983
1,East Antrim,N06000005,EA,east-antrim,70652,16974
3,East Londonderry,N06000006,EL,east-londonderry,77437,16972
4,Fermanagh and South Tyrone,N06000007,FT,fermanagh-south-tyrone,79405,16977
5,Foyle,N06000008,FY,foyle,76503,16971
6,Lagan Valley,N06000009,LV,lagan-valley,80833,16981
7,Mid Ulster,N06000010,MU,mid-ulster,75342,16975
8,Newry and Armagh,N06000011,NYA,newry-armagh,85884,16979
9,North Antrim,N06000012,NA,north-antrim,85122,16973
11,North Down,N06000013,ND,north-down,71239,16986
12,South Antrim,N06000014,SA,south-antrim,76066,16984
14,South Down,N06000015,SD,south-down,82463,16980
15,Strangford,N06000016,ST,strangford,70598,16982
16,Upper Bann,N06000017,UB,upper-bann,92012,16978
18,West Tyrone,N06000018,WT,west-tyrone,69229,16976
