Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
5,7656,1,Stuart,Canning,,0,,,,NI Conservatives
5,19694,1,Colm,Cavanagh,,0,,,,Alliance Party
5,19701,1,Shannon,Downey,,0,,,,Green Party
5,19640,1,Mark H.,Durkan,,0,,,,Social Democratic and Labour Party
5,11857,1,Colum,Eastwood,,0,,,,Social Democratic and Labour Party
5,6404,1,Julia,Kee,,0,,,,Ulster Unionist Party
5,11859,1,John,Lindsay,,0,,,,Cannabis Is Safer Than Alcohol
5,19678,1,Elisha,McCallion,,0,,,,Sinn Fein
5,2294,1,Eamonn,McCann,,0,,,,People Before Profit Alliance
5,11860,1,Raymond,McCartney,,0,,,,Sinn Fein
5,19742,1,Arthur,McGuinness,,0,,,,Independent
5,7209,1,Gary,Middleton,,0,,,,Democratic Unionist Party
