Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
14,11531,1,Sinead,Bradley,7323,0.00,7323.00,,,Social Democratic and Labour Party
14,11532,1,Patrick,Brown,4535,0.00,4535.00,,,Alliance Party
14,19728,1,Patrick PC,Clarke,192,0.00,192.00,Excluded,1,Independent
14,19671,1,Sinéad,Ennis,10256,0.00,10256.00,Elected,1,Sinn Fein
14,19705,1,Hannah,George,483,0.00,483.00,Excluded,1,Green Party
14,5994,1,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,1,Gary,Hynds,85,0.00,85.00,Excluded,1,NI Conservatives
14,11535,1,Colin,McGrath,5110,0.00,5110.00,,,Social Democratic and Labour Party
14,6709,1,Harold,McKee,4172,0.00,4172.00,,,Ulster Unionist Party
14,11545,1,Lyle,Rea,630,0.00,630.00,Excluded,1,Traditional Unionist Voice
14,2333,1,Jim,Wells,7786,0.00,7786.00,,,Democratic Unionist Party
14,11531,2,Sinead,Bradley,7323,164.00,7487.00,,,Social Democratic and Labour Party
14,11532,2,Patrick,Brown,4535,348.00,4883.00,,,Alliance Party
14,19728,2,Patrick PC,Clarke,192,-192.00,0.00,Excluded,1,Independent
14,19671,2,Sinéad,Ennis,10256,0.00,10256.00,Elected,1,Sinn Fein
14,19705,2,Hannah,George,483,-483.00,0.00,Excluded,1,Green Party
14,5994,2,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,2,Gary,Hynds,85,-85.00,0.00,Excluded,1,NI Conservatives
14,11535,2,Colin,McGrath,5110,92.00,5202.00,,,Social Democratic and Labour Party
14,6709,2,Harold,McKee,4172,337.00,4509.00,,,Ulster Unionist Party
14,11545,2,Lyle,Rea,630,-630.00,0.00,Excluded,1,Traditional Unionist Voice
14,2333,2,Jim,Wells,7786,302.00,8088.00,,,Democratic Unionist Party
14,11531,3,Sinead,Bradley,7323,1419.12,8906.12,Elected,3,Social Democratic and Labour Party
14,11532,3,Patrick,Brown,4535,218.64,5101.64,,,Alliance Party
14,19728,3,Patrick PC,Clarke,192,0.00,0.00,Excluded,1,Independent
14,19671,3,Sinéad,Ennis,10256,-2022.00,8234.00,Elected,1,Sinn Fein
14,19705,3,Hannah,George,483,0.00,0.00,Excluded,1,Green Party
14,5994,3,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,3,Gary,Hynds,85,0.00,0.00,Excluded,1,NI Conservatives
14,11535,3,Colin,McGrath,5110,310.80,5512.80,,,Social Democratic and Labour Party
14,6709,3,Harold,McKee,4172,13.44,4522.44,,,Ulster Unionist Party
14,11545,3,Lyle,Rea,630,0.00,0.00,Excluded,1,Traditional Unionist Voice
14,2333,3,Jim,Wells,7786,3.36,8091.36,,,Democratic Unionist Party
14,11531,4,Sinead,Bradley,7323,-672.12,8234.00,Elected,3,Social Democratic and Labour Party
14,11532,4,Patrick,Brown,4535,93.24,5194.88,,,Alliance Party
14,19728,4,Patrick PC,Clarke,192,0.00,0.00,Excluded,1,Independent
14,19671,4,Sinéad,Ennis,10256,0.00,8234.00,Elected,1,Sinn Fein
14,19705,4,Hannah,George,483,0.00,0.00,Excluded,1,Green Party
14,5994,4,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,4,Gary,Hynds,85,0.00,0.00,Excluded,1,NI Conservatives
14,11535,4,Colin,McGrath,5110,530.88,6043.68,,,Social Democratic and Labour Party
14,6709,4,Harold,McKee,4172,5.32,4527.76,Excluded,4,Ulster Unionist Party
14,11545,4,Lyle,Rea,630,0.00,0.00,Excluded,1,Traditional Unionist Voice
14,2333,4,Jim,Wells,7786,0.28,8091.64,,,Democratic Unionist Party
14,11531,5,Sinead,Bradley,7323,0.00,8234.00,Elected,3,Social Democratic and Labour Party
14,11532,5,Patrick,Brown,4535,812.94,6007.82,,,Alliance Party
14,19728,5,Patrick PC,Clarke,192,0.00,0.00,Excluded,1,Independent
14,19671,5,Sinéad,Ennis,10256,0.00,8234.00,Elected,1,Sinn Fein
14,19705,5,Hannah,George,483,0.00,0.00,Excluded,1,Green Party
14,5994,5,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,5,Gary,Hynds,85,0.00,0.00,Excluded,1,NI Conservatives
14,11535,5,Colin,McGrath,5110,588.74,6632.42,,,Social Democratic and Labour Party
14,6709,5,Harold,McKee,4172,-4527.76,0.00,Excluded,4,Ulster Unionist Party
14,11545,5,Lyle,Rea,630,0.00,0.00,Excluded,1,Traditional Unionist Voice
14,2333,5,Jim,Wells,7786,2730.00,10821.64,Elected,5,Democratic Unionist Party
14,11531,6,Sinead,Bradley,7323,0.00,8234.00,Elected,3,Social Democratic and Labour Party
14,11532,6,Patrick,Brown,4535,723.00,6730.82,,,Alliance Party
14,19728,6,Patrick PC,Clarke,192,0.00,0.00,Excluded,1,Independent
14,19671,6,Sinéad,Ennis,10256,0.00,8234.00,Elected,1,Sinn Fein
14,19705,6,Hannah,George,483,0.00,0.00,Excluded,1,Green Party
14,5994,6,Chris,Hazzard,8827,0.00,8827.00,Elected,1,Sinn Fein
14,19722,6,Gary,Hynds,85,0.00,0.00,Excluded,1,NI Conservatives
14,11535,6,Colin,McGrath,5110,596.00,7228.42,,,Social Democratic and Labour Party
