Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
15,4590,1,Kellie,Armstrong,5813,0.00,5813.00,,,Alliance Party
15,19706,1,Ricky,Bamford,918,0.00,918.00,,,Green Party
15,6251,1,Jonathan,Bell,1479,0.00,1479.00,,,Independent
15,19718,1,Scott,Benton,195,0.00,195.00,Excluded,1,NI Conservatives
15,7179,1,Joe,Boyle,3045,0.00,3045.00,,,Social Democratic and Labour Party
15,6984,1,Stephen,Cooper,1330,0.00,1330.00,,,Traditional Unionist Voice
15,16581,1,Simon,Hamilton,6221,0.00,6221.00,,,Democratic Unionist Party
15,12090,1,Dermot,Kennedy,1110,0.00,1110.00,,,Sinn Fein
15,12092,1,Michelle,McIlveen,5728,0.00,5728.00,,,Democratic Unionist Party
15,12094,1,Jimmy,Menagh,1627,0.00,1627.00,,,Independent
15,302,1,Mike,Nesbitt,5323,0.00,5323.00,,,Ulster Unionist Party
15,8115,1,Philip,Smith,2453,0.00,2453.00,,,Ulster Unionist Party
15,11547,1,Peter,Weir,3543,0.00,3543.00,,,Democratic Unionist Party
15,4590,2,Kellie,Armstrong,5813,32.00,5845.00,,,Alliance Party
15,19706,2,Ricky,Bamford,918,12.00,930.00,Excluded,2,Green Party
15,6251,2,Jonathan,Bell,1479,10.00,1489.00,,,Independent
15,19718,2,Scott,Benton,195,-195.00,0.00,Excluded,1,NI Conservatives
15,7179,2,Joe,Boyle,3045,4.00,3049.00,,,Social Democratic and Labour Party
15,6984,2,Stephen,Cooper,1330,20.00,1350.00,,,Traditional Unionist Voice
15,16581,2,Simon,Hamilton,6221,13.00,6234.00,,,Democratic Unionist Party
15,12090,2,Dermot,Kennedy,1110,0.00,1110.00,,,Sinn Fein
15,12092,2,Michelle,McIlveen,5728,9.00,5737.00,,,Democratic Unionist Party
15,12094,2,Jimmy,Menagh,1627,7.00,1634.00,,,Independent
15,302,2,Mike,Nesbitt,5323,39.00,5362.00,,,Ulster Unionist Party
15,8115,2,Philip,Smith,2453,27.00,2480.00,,,Ulster Unionist Party
15,11547,2,Peter,Weir,3543,9.00,3552.00,,,Democratic Unionist Party
15,4590,3,Kellie,Armstrong,5813,527.00,6372.00,,,Alliance Party
15,19706,3,Ricky,Bamford,918,-930.00,0.00,Excluded,2,Green Party
15,6251,3,Jonathan,Bell,1479,60.00,1549.00,,,Independent
15,19718,3,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,3,Joe,Boyle,3045,71.00,3120.00,,,Social Democratic and Labour Party
15,6984,3,Stephen,Cooper,1330,20.00,1370.00,,,Traditional Unionist Voice
15,16581,3,Simon,Hamilton,6221,25.00,6259.00,,,Democratic Unionist Party
15,12090,3,Dermot,Kennedy,1110,19.00,1129.00,Excluded,3,Sinn Fein
15,12092,3,Michelle,McIlveen,5728,9.00,5746.00,,,Democratic Unionist Party
15,12094,3,Jimmy,Menagh,1627,49.00,1683.00,,,Independent
15,302,3,Mike,Nesbitt,5323,57.00,5419.00,,,Ulster Unionist Party
15,8115,3,Philip,Smith,2453,27.00,2507.00,,,Ulster Unionist Party
15,11547,3,Peter,Weir,3543,4.00,3556.00,,,Democratic Unionist Party
15,4590,4,Kellie,Armstrong,5813,238.00,6610.00,Elected,4,Alliance Party
15,19706,4,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,4,Jonathan,Bell,1479,29.00,1578.00,,,Independent
15,19718,4,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,4,Joe,Boyle,3045,758.00,3878.00,,,Social Democratic and Labour Party
15,6984,4,Stephen,Cooper,1330,3.00,1373.00,Excluded,4,Traditional Unionist Voice
15,16581,4,Simon,Hamilton,6221,3.00,6262.00,,,Democratic Unionist Party
15,12090,4,Dermot,Kennedy,1110,-1129.00,0.00,Excluded,3,Sinn Fein
15,12092,4,Michelle,McIlveen,5728,1.00,5747.00,,,Democratic Unionist Party
15,12094,4,Jimmy,Menagh,1627,6.00,1689.00,,,Independent
15,302,4,Mike,Nesbitt,5323,13.00,5432.00,,,Ulster Unionist Party
15,8115,4,Philip,Smith,2453,0.00,2507.00,,,Ulster Unionist Party
15,11547,4,Peter,Weir,3543,0.00,3556.00,,,Democratic Unionist Party
15,4590,5,Kellie,Armstrong,5813,0.00,6610.00,Elected,4,Alliance Party
15,19706,5,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,5,Jonathan,Bell,1479,204.00,1782.00,,,Independent
15,19718,5,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,5,Joe,Boyle,3045,22.00,3900.00,,,Social Democratic and Labour Party
15,6984,5,Stephen,Cooper,1330,-1373.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,5,Simon,Hamilton,6221,269.00,6531.00,Elected,5,Democratic Unionist Party
15,12090,5,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,5,Michelle,McIlveen,5728,216.00,5963.00,,,Democratic Unionist Party
15,12094,5,Jimmy,Menagh,1627,153.00,1842.00,,,Independent
15,302,5,Mike,Nesbitt,5323,212.00,5644.00,,,Ulster Unionist Party
15,8115,5,Philip,Smith,2453,141.00,2648.00,,,Ulster Unionist Party
15,11547,5,Peter,Weir,3543,80.00,3636.00,,,Democratic Unionist Party
15,4590,6,Kellie,Armstrong,5813,-145.00,6465.00,Elected,4,Alliance Party
15,19706,6,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,6,Jonathan,Bell,1479,9.75,1791.75,,,Independent
15,19718,6,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,6,Joe,Boyle,3045,120.75,4020.75,,,Social Democratic and Labour Party
15,6984,6,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,6,Simon,Hamilton,6221,0.00,6531.00,Elected,5,Democratic Unionist Party
15,12090,6,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,6,Michelle,McIlveen,5728,0.75,5963.75,,,Democratic Unionist Party
15,12094,6,Jimmy,Menagh,1627,3.00,1845.00,,,Independent
15,302,6,Mike,Nesbitt,5323,9.00,5653.00,,,Ulster Unionist Party
15,8115,6,Philip,Smith,2453,0.00,2648.00,,,Ulster Unionist Party
15,11547,6,Peter,Weir,3543,0.00,3636.00,,,Democratic Unionist Party
15,4590,7,Kellie,Armstrong,5813,0.00,6465.00,Elected,4,Alliance Party
15,19706,7,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,7,Jonathan,Bell,1479,2.25,1794.00,Excluded,7,Independent
15,19718,7,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,7,Joe,Boyle,3045,0.25,4021.00,,,Social Democratic and Labour Party
15,6984,7,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,7,Simon,Hamilton,6221,-66.00,6465.00,Elected,5,Democratic Unionist Party
15,12090,7,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,7,Michelle,McIlveen,5728,49.50,6013.25,,,Democratic Unionist Party
15,12094,7,Jimmy,Menagh,1627,1.50,1846.50,,,Independent
15,302,7,Mike,Nesbitt,5323,4.00,5657.00,,,Ulster Unionist Party
15,8115,7,Philip,Smith,2453,3.00,2651.00,,,Ulster Unionist Party
15,11547,7,Peter,Weir,3543,3.50,3639.50,,,Democratic Unionist Party
15,4590,8,Kellie,Armstrong,5813,0.00,6465.00,Elected,4,Alliance Party
15,19706,8,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,8,Jonathan,Bell,1479,-1794.00,0.00,Excluded,7,Independent
15,19718,8,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,8,Joe,Boyle,3045,94.00,4115.00,,,Social Democratic and Labour Party
15,6984,8,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,8,Simon,Hamilton,6221,0.00,6465.00,Elected,5,Democratic Unionist Party
15,12090,8,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,8,Michelle,McIlveen,5728,316.75,6330.00,,,Democratic Unionist Party
15,12094,8,Jimmy,Menagh,1627,343.25,2189.75,Excluded,8,Independent
15,302,8,Mike,Nesbitt,5323,455.00,6112.00,,,Ulster Unionist Party
15,8115,8,Philip,Smith,2453,149.00,2800.00,,,Ulster Unionist Party
15,11547,8,Peter,Weir,3543,238.25,3877.75,,,Democratic Unionist Party
15,4590,9,Kellie,Armstrong,5813,0.00,6465.00,Elected,4,Alliance Party
15,19706,9,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,9,Jonathan,Bell,1479,0.00,0.00,Excluded,7,Independent
15,19718,9,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,9,Joe,Boyle,3045,114.25,4229.25,,,Social Democratic and Labour Party
15,6984,9,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,9,Simon,Hamilton,6221,0.00,6465.00,Elected,5,Democratic Unionist Party
15,12090,9,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,9,Michelle,McIlveen,5728,432.00,6762.00,Elected,9,Democratic Unionist Party
15,12094,9,Jimmy,Menagh,1627,-2189.75,0.00,Excluded,8,Independent
15,302,9,Mike,Nesbitt,5323,428.00,6540.00,Elected,9,Ulster Unionist Party
15,8115,9,Philip,Smith,2453,279.25,3079.25,Excluded,9,Ulster Unionist Party
15,11547,9,Peter,Weir,3543,313.75,4191.50,,,Democratic Unionist Party
15,4590,10,Kellie,Armstrong,5813,0.00,6465.00,Elected,4,Alliance Party
15,19706,10,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,10,Jonathan,Bell,1479,0.00,0.00,Excluded,7,Independent
15,19718,10,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,10,Joe,Boyle,3045,934.00,5163.25,,,Social Democratic and Labour Party
15,6984,10,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,10,Simon,Hamilton,6221,0.00,6465.00,Elected,5,Democratic Unionist Party
15,12090,10,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
15,12092,10,Michelle,McIlveen,5728,0.00,6762.00,Elected,9,Democratic Unionist Party
15,12094,10,Jimmy,Menagh,1627,0.00,0.00,Excluded,8,Independent
15,302,10,Mike,Nesbitt,5323,0.00,6540.00,Elected,9,Ulster Unionist Party
15,8115,10,Philip,Smith,2453,-3079.25,0.00,Excluded,9,Ulster Unionist Party
15,11547,10,Peter,Weir,3543,910.00,5101.50,,,Democratic Unionist Party
15,4590,11,Kellie,Armstrong,5813,0.00,6465.00,Elected,4,Alliance Party
15,19706,11,Ricky,Bamford,918,0.00,0.00,Excluded,2,Green Party
15,6251,11,Jonathan,Bell,1479,0.00,0.00,Excluded,7,Independent
15,19718,11,Scott,Benton,195,0.00,0.00,Excluded,1,NI Conservatives
15,7179,11,Joe,Boyle,3045,3.84,5167.09,Excluded,11,Social Democratic and Labour Party
15,6984,11,Stephen,Cooper,1330,0.00,0.00,Excluded,4,Traditional Unionist Voice
15,16581,11,Simon,Hamilton,6221,0.00,6465.00,Elected,5,Democratic Unionist Party
15,12090,11,Dermot,Kennedy,1110,0.00,0.00,Excluded,3,Sinn Fein
