Candidate_id,Constituency_Name,Constituency_Number,Candidate_id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
8150,Upper Bann,16,8150,Doug,Beattie,,26,Ulster Unionist Party,,upper-bann,Male,BeattieDoug,
19683,Upper Bann,16,19683,Johnathan,Buckley,,20,Democratic Unionist Party,,upper-bann,Male,JBuckleyDUP,
4677,Upper Bann,16,4677,Jo-Anne,Dobson,,26,Ulster Unionist Party,,upper-bann,female,JoAnne_Dobson,
12443,Upper Bann,16,12443,Roy,Ferguson,,141,Traditional Unionist Voice,,upper-bann,Male,,
33,Upper Bann,16,33,Harry,Hamilton,,19,Alliance Party,,upper-bann,male,,
699,Upper Bann,16,699,Dolores,Kelly,,23,Social Democratic and Labour Party,,upper-bann,female,doloreskelly,
7435,Upper Bann,16,7435,Martin,Kelly,,993,Cannabis is Safer than Alcohol,,upper-bann,male,cistaupperbann,
12440,Upper Bann,16,12440,Simon,Lee,,111,Green Party,,upper-bann,Male,thesymbolic,
12439,Upper Bann,16,12439,Carla,Lockhart,,20,Democratic Unionist Party,,upper-bann,female,carlalockhart,
3752,Upper Bann,16,3752,John,O'Dowd,,24,Sinn Fein,,upper-bann,male,JohnODowdSF,
19679,Upper Bann,16,19679,Nuala,Toman,,24,Sinn Fein,,upper-bann,female,NualaToman,
