Constituency_Name,Constituency_Number,Candidate_id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
Belfast South,13,4597,Máirtín,ÓMuilleoir,,24,Sinn Fein,,belfast-south,male,newbelfast,
Belfast South,13,5824,Clare,Bailey,,111,Green Party,,belfast-south,female,ClareBaileyGPNI,
Belfast South,13,1679,Paula,Bradshaw,,19,Alliance Party,,belfast-south,female,PaulaJaneB,
Belfast South,13,11455,Sean,Burns,,987,Cross-Community Labour Alternative,,belfast-south,Male,,
Belfast South,13,19698,Naomh,Gallagher,,23,Social Democratic and Labour Party,,belfast-south,Female,naomhgallagher,
Belfast South,13,3475,Claire,Hanna,,23,Social Democratic and Labour Party,,belfast-south,female,ClaireHanna,
Belfast South,13,11457,John,Hiddleston,,141,Traditional Unionist Voice,,belfast-south,Male,,
Belfast South,13,6265,Lily,Kerr,,998,Workers Party,,belfast-south,female,,
Belfast South,13,11458,Emma,Little Pengelly,,20,Democratic Unionist Party,,belfast-south,female,little_pengelly,
Belfast South,13,19677,Emmet,McDonough-Brown,,19,Alliance Party,,belfast-south,Male,EmmetMcDB,
Belfast South,13,19670,Pádraigín,Mervyn,,999,People Before Profit Alliance,,belfast-south,Female,,
Belfast South,13,11461,Christopher,Stalford,,20,Democratic Unionist Party,,belfast-south,male,CStalfordMLA,
